trunk_morph_id	image_id	file_name	length_width_ratio_mean	major_axis_length_um_mean	minor_axis_length_um_mean	consensus_axis_length_um	consensus_axis_perp_width_um_mean	consensus_axis_length_width_ratio_mean	overall_shape_note	foxf1_area_um2_mean	foxf1_fraction_mean	foxf1_posterior_edge_distance_um_mean	foxf1_posterior_p10_distance_um_mean	foxf1_posterior_centroid_distance_um_mean	foxf1_bilaterality_index_mean	foxf1_weighted_bilaterality_index_mean	foxf1_size_note	foxf1_posterior_position_note	foxf1_bilaterality_note	foxf1_weighted_bilaterality_note	mesp2_area_um2_mean	mesp2_fraction_mean	mesp2_bilaterality_index_mean	mesp2_weighted_bilaterality_index_mean	mesp2_size_note	mesp2_bilaterality_note	mesp2_weighted_bilaterality_note	pax8_area_um2_mean	pax8_fraction_mean	pax8_bilaterality_index_mean	pax8_weighted_bilaterality_index_mean	pax8_size_note	pax8_bilaterality_note	pax8_weighted_bilaterality_note	draft_day5_description	bilateral somites (y/n)	neural tube with lumen (y/n)
01	2026-01-02_day5_pax8_1	1.czi	1.6426205475116418	857.9203769564024	522.2873037614376	905.9669741298108	307.3666351690345	2.9477734834904066	compact	57475.670909090906	0.1796750689086947	246.41596322434435	370.3824707703741	458.00224676826167	0.0394946035082701	0.0020387738185229	small LPM	mid-axis LPM	asymmetric	asymmetric	182025.9054545455	0.5690323677551015	0.6988256916896928	0.3679483448905316	intermediate MESP2	partially bilateral	asymmetric	131141.6954545455	0.4099629076947682	0.7291336305124306	0.98470876783064	large IM	partially bilateral	bilateral-like	compact; LPM small LPM, mid-axis LPM, asymmetric; MESP2 intermediate MESP2, partially bilateral; IM large IM, partially bilateral		
02	2026-01-02_day5_pax8_2	2.czi	1.8676460114087063	1068.2035186498235	571.9618794634574	1106.699704504885	341.25543927638927	3.243179537501098	compact	85306.41166666667	0.2056078255928494	329.80553886947035	432.205581959877	548.5171318391923	0.5006942441730484	0.134473526485774	intermediate LPM	anterior-shifted LPM	partially bilateral	asymmetric	192034.4183333333	0.4628465600778811	0.7305646155575163	0.4960352129620435	large MESP2	partially bilateral	asymmetric	140086.9166666667	0.3376412835460379	0.5886725198052194	0.6138579216789343	large IM	partially bilateral	partially bilateral	compact; LPM intermediate LPM, anterior-shifted LPM, partially bilateral; MESP2 large MESP2, partially bilateral; IM large IM, partially bilateral		
03	2026-01-02_day5_pax8_3	3.czi	2.2801167760278007	1311.9130022984025	575.374656828869	1408.136398725037	281.0392447803097	5.010699404331935	intermediate	855.309	0.0019410259478465	295.1630969088379	300.0565632528258	397.973513248555	0.0430944963655244	0.0042546496794521	small LPM	mid-axis LPM	asymmetric	asymmetric	201199.063	0.4565982609389334	0.6793701583766151	0.3801461467774005	large MESP2	partially bilateral	asymmetric	24072.698	0.0546302347486983	0.5891450590083402	0.3638125763155028	small IM	partially bilateral	asymmetric	intermediate; LPM small LPM, mid-axis LPM, asymmetric; MESP2 large MESP2, partially bilateral; IM small IM, partially bilateral		
04	2026-01-02_day5_pax8_4	4.czi	1.8056946789389496	950.4372274582008	526.3555676176463	1021.7161341345844	280.38021657852613	3.6442082924133734	compact	75074.87000000002	0.2239427460456425	403.9530981795566	469.2232986104344	559.786865648718	0.6892512376369534	0.8727298608397893	intermediate LPM	anterior-shifted LPM	partially bilateral	bilateral-like	174802.14555555556	0.5214217818876172	0.653171650531364	0.4775342526952157	intermediate MESP2	partially bilateral	asymmetric	120846.64222222225	0.3604765337541008	0.9067874907265546	0.5532181263678401	intermediate IM	bilateral-like	partially bilateral	compact; LPM intermediate LPM, anterior-shifted LPM, partially bilateral; MESP2 intermediate MESP2, partially bilateral; IM intermediate IM, bilateral-like		
05	2026-01-02_day5_pax8_5	5.czi	2.4725970506948287	1255.6823911427734	507.88613087721063	1292.084221259428	292.3073327715058	4.421353027631869	elongated	80428.48272727273	0.1956419047448204	38.891014143243574	257.60671489217543	362.3641068383805	0.9861604258480078	0.8383256356121455	intermediate LPM	posterior LPM	bilateral-like	bilateral-like	119583.32454545455	0.2908858727215242	0.6232613989207743	0.5499567470734017	small MESP2	partially bilateral	partially bilateral	49343.54454545455	0.1200279392869876	0.6746135818932527	0.6994259098174501	small IM	partially bilateral	partially bilateral	elongated; LPM intermediate LPM, posterior LPM, bilateral-like; MESP2 small MESP2, partially bilateral; IM small IM, partially bilateral		
06	2026-01-02_day5_pax8_6	6.czi	2.7299333764650298	1281.9728130556382	469.6000252056274	1253.209389464801	304.19340230515775	4.121085010306601	elongated	205236.13500000004	0.5153434137514874	2.6586574895003907	105.7066094405076	307.14517466659487	0.8902620443691254	0.4359008660786784	large LPM	posterior LPM	bilateral-like	asymmetric	80153.827	0.2012644938544869	0.5426162853196399	0.2152652890897029	small MESP2	partially bilateral	asymmetric	97596.993	0.2450638994176148	0.3898825943181278	0.3915395630207163	intermediate IM	asymmetric	asymmetric	elongated; LPM large LPM, posterior LPM, bilateral-like; MESP2 small MESP2, partially bilateral; IM intermediate IM, asymmetric		
07	2026-01-02_day5_pax8_7	7.czi	1.9225049590698324	1138.7174765151265	592.3183968832329	1291.0181664081929	297.1816098628853	4.344353830807083	compact	50820.74111111112	0.1160210999676341	173.2581745274687	276.085613335545	398.64592511786344	0.0007375195015152	9.332478058230344e-05	small LPM	mid-axis LPM	asymmetric	asymmetric	148407.5377777778	0.3388066643660471	0.7916396757072356	0.9245329769773916	intermediate MESP2	partially bilateral	bilateral-like	19941.62444444445	0.0455256879888369	0.1723854426084566	0.0761057803743297	small IM	asymmetric	asymmetric	compact; LPM small LPM, mid-axis LPM, asymmetric; MESP2 intermediate MESP2, partially bilateral; IM small IM, asymmetric		
08	2026-01-02_day5_pax8_8	8.czi	2.5805311520939087	1713.4950498909252	664.0135161662365	1807.5369393555152	274.3845563200384	6.588749103684359	elongated	48830.24545454546	0.0936801628430808	138.93135407555926	262.16478834656334	406.9972377697993	0.0	0.0	small LPM	mid-axis LPM	asymmetric	asymmetric	122961.48090909093	0.235899931441318	0.8349330309693758	0.8476406150955399	small MESP2	bilateral-like	bilateral-like	93259.11636363636	0.1789163483865719	0.6158644271523112	0.2600196248245079	intermediate IM	partially bilateral	asymmetric	elongated; LPM small LPM, mid-axis LPM, asymmetric; MESP2 small MESP2, bilateral-like; IM intermediate IM, partially bilateral		
09	2026-01-02_day5_pax8_9	9.czi	1.987513984057685	971.8947795855444	489.0286374389703	930.6852775618062	345.27790210606213	2.6955272033858075	intermediate	212186.6825	0.5898175937501652	33.626686515174015	124.79029434977	302.5398968337114	0.5623876787920292	0.1037649227185936	large LPM	posterior LPM	partially bilateral	asymmetric	119636.3675	0.3325544919807136	0.9367323019665468	0.8269402277478354	small MESP2	bilateral-like	bilateral-like	126394.46625	0.3513400514516808	0.329553394339834	0.5024299506989507	large IM	asymmetric	partially bilateral	intermediate; LPM large LPM, posterior LPM, partially bilateral; MESP2 small MESP2, bilateral-like; IM large IM, asymmetric		
10	2026-01-02_day5_pax8_10	10.czi	2.9426557213182063	1289.1065616809403	438.102033366301	1256.7049394696091	289.59342946782766	4.339913953958577	elongated	182828.087	0.461886427368644	14.949746251206312	109.76989952953834	276.93371402422633	0.7807479886655873	0.1791190460830657	large LPM	posterior LPM	partially bilateral	asymmetric	85801.638	0.216764353270281	0.6563555049925169	0.2827045763273642	small MESP2	partially bilateral	asymmetric	65042.52300000001	0.1643197118586755	0.1172296514675648	0.089563058460276	small IM	asymmetric	asymmetric	elongated; LPM large LPM, posterior LPM, partially bilateral; MESP2 small MESP2, partially bilateral; IM small IM, asymmetric		
