condition,marker,bilaterality_index
Unilateral bead,FOXF1,0.330901853
Unilateral bead,FOXF1,0.298202915
Unilateral bead,FOXF1,0.167167228
Unilateral bead,FOXF1,0.063805408
Unilateral bead,FOXF1,0.041427455
Unilateral bead,FOXF1,0.021853093
Unilateral bead,FOXF1,0.020488828
Unilateral bead,FOXF1,0.002204123
Unilateral bead,FOXF1,0.000190289
Unilateral bead,FOXF1,0.0
Unilateral bead,FOXF1,0.562383183
Unilateral bead,FOXF1,0.022606374
Unilateral bead,FOXF1,0.00085691
Unilateral bead,FOXF1,0.006447689
Unilateral bead,FOXF1,0.040263024
Unilateral bead,FOXF1,0.31423223
Unilateral bead,FOXF1,0.094495558
Unilateral bead,FOXF1,0.330339783
Unilateral bead,FOXF1,0.310629209
Unilateral bead,PAX8,0.434898782
Unilateral bead,PAX8,0.435212541
Unilateral bead,PAX8,0.632450374
Unilateral bead,PAX8,0.0
Unilateral bead,PAX8,0.724597779
Unilateral bead,PAX8,0.078089976
Unilateral bead,PAX8,0.008163782
Unilateral bead,PAX8,0.059774956
Unilateral bead,PAX8,0.195980838
Unilateral bead,PAX8,0.360013652
Unilateral bead,PAX8,0.327999372
Unilateral bead,PAX8,0.353897532
Unilateral bead,PAX8,0.172385443
Unilateral bead,PAX8,0.130313042
Unilateral bead,PAX8,0.258759436
Unilateral bead,PAX8,0.0
Unilateral bead,PAX8,0.658635115
Unilateral bead,PAX8,0.582515451
Unilateral bead,PAX8,0.29500895
Unilateral bead,MESP2,0.776077577
Unilateral bead,MESP2,0.54939699
Unilateral bead,MESP2,0.938663411
Unilateral bead,MESP2,0.35717121
Unilateral bead,MESP2,0.689693699
Unilateral bead,MESP2,0.819188132
Unilateral bead,MESP2,0.876896515
Unilateral bead,MESP2,0.801417012
Unilateral bead,MESP2,0.963980162
Unilateral bead,MESP2,0.11133676
Unilateral bead,MESP2,0.935614566
Unilateral bead,MESP2,0.864603087
Unilateral bead,MESP2,0.791567198
Unilateral bead,MESP2,0.933876188
Unilateral bead,MESP2,0.858349955
Unilateral bead,MESP2,0.747320976
Unilateral bead,MESP2,0.633073145
Unilateral bead,MESP2,0.957037717
Unilateral bead,MESP2,0.766348924
Medial bead,FOXF1,0.900075862
Medial bead,FOXF1,0.846745719
Medial bead,FOXF1,0.84342187
Medial bead,FOXF1,0.809495497
Medial bead,FOXF1,0.502153371
Medial bead,FOXF1,0.986246135
Medial bead,FOXF1,0.689251238
Medial bead,FOXF1,0.500816223
Medial bead,FOXF1,0.459269215
Medial bead,FOXF1,0.391169299
Medial bead,FOXF1,0.411166707
Medial bead,FOXF1,0.430742317
Medial bead,FOXF1,0.584432216
Medial bead,FOXF1,0.867964484
Medial bead,FOXF1,0.981664085
Medial bead,FOXF1,0.723616729
Medial bead,FOXF1,0.741105007
Medial bead,PAX8,0.94775193
Medial bead,PAX8,0.629340324
Medial bead,PAX8,0.001245699
Medial bead,PAX8,0.674656792
Medial bead,PAX8,0.906787491
Medial bead,PAX8,0.589047792
Medial bead,PAX8,0.881317508
Medial bead,PAX8,0.08280579
Medial bead,PAX8,0.79136242
Medial bead,PAX8,0.981761964
Medial bead,PAX8,0.770882003
Medial bead,PAX8,0.966293066
Medial bead,PAX8,0.993628116
Medial bead,PAX8,0.488654975
Medial bead,PAX8,0.742810618
Medial bead,MESP2,0.981393975
Medial bead,MESP2,0.511305599
Medial bead,MESP2,0.813097137
Medial bead,MESP2,0.930184527
Medial bead,MESP2,0.696497431
Medial bead,MESP2,0.623180523
Medial bead,MESP2,0.653171651
Medial bead,MESP2,0.731168074
Medial bead,MESP2,0.817788658
Medial bead,MESP2,0.201813722
Medial bead,MESP2,0.942972377
Medial bead,MESP2,0.920842317
Medial bead,MESP2,0.84829952
Medial bead,MESP2,0.885481839
Medial bead,MESP2,0.953099572
Medial bead,MESP2,0.750948111
Medial bead,MESP2,0.912020062
Bilateral beads,FOXF1,0.889905521
Bilateral beads,FOXF1,0.831652126
Bilateral beads,FOXF1,0.788798473
Bilateral beads,FOXF1,0.774992674
Bilateral beads,FOXF1,0.720777237
Bilateral beads,FOXF1,0.931812317
Bilateral beads,FOXF1,0.61427155
Bilateral beads,PAX8,0.389436387
Bilateral beads,PAX8,0.637507013
Bilateral beads,PAX8,0.700481216
Bilateral beads,PAX8,0.117229651
Bilateral beads,PAX8,0.623885036
Bilateral beads,PAX8,0.958030702
Bilateral beads,PAX8,0.803763587
Bilateral beads,MESP2,0.542604802
Bilateral beads,MESP2,0.74611789
Bilateral beads,MESP2,0.862970597
Bilateral beads,MESP2,0.656270454
Bilateral beads,MESP2,0.852709719
Bilateral beads,MESP2,0.865401353
Bilateral beads,MESP2,0.991481655
