condition,category,field,pSMAD_med
no_KD,"0 ng/mL BMP4, edge cells",10x-1,166.4
no_KD,"0 ng/mL BMP4, edge cells",10x-2,141.7
no_KD,"0 ng/mL BMP4, edge cells",10x-3,159.9
no_KD,"10 ng/mL BMP4, edge cells",10x-1,869.6
no_KD,"10 ng/mL BMP4, edge cells",10x-2,918.8
no_KD,"10 ng/mL BMP4, edge cells",10x-3,918.9
no_KD,"10 ng/mL BMP4, interior cells",10x-1,190.7
no_KD,"10 ng/mL BMP4, interior cells",10x-2,170.1
no_KD,"10 ng/mL BMP4, interior cells",10x-3,202.5
SCRAMBLE_KD,"0 ng/mL BMP4, edge cells",10x-1,126.0
SCRAMBLE_KD,"0 ng/mL BMP4, edge cells",10x-2,117.1
SCRAMBLE_KD,"0 ng/mL BMP4, edge cells",10x-3,131.0
SCRAMBLE_KD,"10 ng/mL BMP4, edge cells",10x-1,873.5
SCRAMBLE_KD,"10 ng/mL BMP4, edge cells",10x-2,947.3
SCRAMBLE_KD,"10 ng/mL BMP4, edge cells",10x-3,949.2
SCRAMBLE_KD,"10 ng/mL BMP4, interior cells",10x-1,208.8
SCRAMBLE_KD,"10 ng/mL BMP4, interior cells",10x-2,198.3
SCRAMBLE_KD,"10 ng/mL BMP4, interior cells",10x-3,199.0
BMPR1A_KD,"0 ng/mL BMP4, edge cells",10x-1,164.0
BMPR1A_KD,"0 ng/mL BMP4, edge cells",10x-2,130.2
BMPR1A_KD,"0 ng/mL BMP4, edge cells",10x-3,117.5
BMPR1A_KD,"10 ng/mL BMP4, edge cells",10x-1,144.0
BMPR1A_KD,"10 ng/mL BMP4, edge cells",10x-2,144.0
BMPR1A_KD,"10 ng/mL BMP4, edge cells",10x-3,148.7
BMPR1A_KD,"10 ng/mL BMP4, interior cells",10x-1,119.0
BMPR1A_KD,"10 ng/mL BMP4, interior cells",10x-2,124.1
BMPR1A_KD,"10 ng/mL BMP4, interior cells",10x-3,97.9
