timepoint,condition,region,field,pSMAD_med
no_BMP,no_KD,edge,10x-1,166.4
no_BMP,no_KD,edge,10x-2,141.7
no_BMP,no_KD,edge,10x-3,159.9
no_BMP,no_KD,interior,10x-1,176.5
no_BMP,no_KD,interior,10x-2,155.2
no_BMP,no_KD,interior,10x-3,142.6
no_BMP,SCRAMBLE_KD,edge,10x-1,126.0
no_BMP,SCRAMBLE_KD,edge,10x-2,117.1
no_BMP,SCRAMBLE_KD,edge,10x-3,131.0
no_BMP,SCRAMBLE_KD,interior,10x-1,126.4
no_BMP,SCRAMBLE_KD,interior,10x-2,113.8
no_BMP,SCRAMBLE_KD,interior,10x-3,134.8
no_BMP,BMPR1A_KD,edge,10x-1,164.0
no_BMP,BMPR1A_KD,edge,10x-2,130.2
no_BMP,BMPR1A_KD,edge,10x-3,117.5
no_BMP,BMPR1A_KD,interior,10x-1,147.5
no_BMP,BMPR1A_KD,interior,10x-2,136.1
no_BMP,BMPR1A_KD,interior,10x-3,110.3
15min,no_KD,edge,10x-1,757.0
15min,no_KD,edge,10x-2,782.9
15min,no_KD,edge,10x-3,803.1
15min,no_KD,interior,10x-1,198.9
15min,no_KD,interior,10x-2,163.1
15min,no_KD,interior,10x-3,200.5
15min,SCRAMBLE_KD,edge,10x-1,788.2
15min,SCRAMBLE_KD,edge,10x-2,759.6
15min,SCRAMBLE_KD,edge,10x-3,734.2
15min,SCRAMBLE_KD,interior,10x-1,215.1
15min,SCRAMBLE_KD,interior,10x-2,174.9
15min,SCRAMBLE_KD,interior,10x-3,165.4
15min,BMPR1A_KD,edge,10x-1,131.7
15min,BMPR1A_KD,edge,10x-2,158.6
15min,BMPR1A_KD,edge,10x-3,167.9
15min,BMPR1A_KD,interior,10x-1,129.7
15min,BMPR1A_KD,interior,10x-2,132.2
15min,BMPR1A_KD,interior,10x-3,133.3
30min,no_KD,edge,10x-1,869.6
30min,no_KD,edge,10x-2,918.8
30min,no_KD,edge,10x-3,918.9
30min,no_KD,interior,10x-1,190.7
30min,no_KD,interior,10x-2,170.1
30min,no_KD,interior,10x-3,202.5
30min,SCRAMBLE_KD,edge,10x-1,873.5
30min,SCRAMBLE_KD,edge,10x-2,947.3
30min,SCRAMBLE_KD,edge,10x-3,949.2
30min,SCRAMBLE_KD,interior,10x-1,208.8
30min,SCRAMBLE_KD,interior,10x-2,198.3
30min,SCRAMBLE_KD,interior,10x-3,199.0
30min,BMPR1A_KD,edge,10x-1,144.0
30min,BMPR1A_KD,edge,10x-2,144.0
30min,BMPR1A_KD,edge,10x-3,148.7
30min,BMPR1A_KD,interior,10x-1,119.0
30min,BMPR1A_KD,interior,10x-2,124.1
30min,BMPR1A_KD,interior,10x-3,97.9
45min,no_KD,edge,10x-1,867.4
45min,no_KD,edge,10x-2,890.7
45min,no_KD,edge,10x-3,876.9
45min,no_KD,edge,10x-4,984.8
45min,no_KD,interior,10x-1,384.4
45min,no_KD,interior,10x-2,307.5
45min,no_KD,interior,10x-3,304.5
45min,no_KD,interior,10x-4,411.6
45min,SCRAMBLE_KD,edge,10x-1,856.1
45min,SCRAMBLE_KD,edge,10x-2,932.1
45min,SCRAMBLE_KD,edge,10x-3,804.2
45min,SCRAMBLE_KD,interior,10x-1,284.6
45min,SCRAMBLE_KD,interior,10x-2,297.5
45min,SCRAMBLE_KD,interior,10x-3,263.5
45min,BMPR1A_KD,edge,10x-1,151.1
45min,BMPR1A_KD,edge,10x-2,162.6
45min,BMPR1A_KD,edge,10x-3,214.9
45min,BMPR1A_KD,interior,10x-1,153.9
45min,BMPR1A_KD,interior,10x-2,177.0
45min,BMPR1A_KD,interior,10x-3,227.3
