foxa2_normalized	foxf1_normalized_foxa2_panel	sox2_normalized	foxf1_normalized_sox2_panel
0.229167	0.114286	0.204545	0.114286
0.250000	0.042857	0.227273	0.042857
0.229167	0.000000	0.227273	0.000000
0.208333	0.064286	0.227273	0.064286
0.187500	0.000000	0.204545	0.000000
0.166667	0.000000	0.181818	0.000000
0.104167	0.000000	0.181818	0.000000
0.125000	0.100000	0.181818	0.100000
0.104167	0.000000	0.181818	0.000000
0.104167	0.000000	0.159091	0.000000
0.083333	0.000000	0.159091	0.000000
0.041667	0.000000	0.113636	0.000000
0.083333	0.000000	0.113636	0.000000
0.062500	0.000000	0.090909	0.000000
0.041667	0.114286	0.090909	0.114286
0.041667	0.035714	0.090909	0.035714
0.000000	0.107143	0.090909	0.107143
0.000000	0.064286	0.090909	0.064286
0.000000	0.000000	0.090909	0.000000
0.000000	0.000000	0.090909	0.000000
0.000000	0.014286	0.068182	0.014286
0.187500	0.028571	0.272727	0.028571
0.208333	0.000000	0.250000	0.000000
0.187500	0.150000	0.227273	0.150000
0.229167	0.014286	0.227273	0.014286
0.229167	0.035714	0.227273	0.035714
0.208333	0.042857	0.227273	0.042857
0.229167	0.000000	0.227273	0.000000
0.208333	0.078571	0.181818	0.078571
0.229167	0.135714	0.227273	0.135714
0.208333	0.078571	0.204545	0.078571
0.208333	0.014286	0.204545	0.014286
0.208333	0.000000	0.181818	0.000000
0.187500	0.000000	0.181818	0.000000
0.125000	0.000000	0.181818	0.000000
0.125000	0.000000	0.181818	0.000000
0.104167	0.000000	0.159091	0.000000
0.083333	0.000000	0.159091	0.000000
0.125000	0.000000	0.159091	0.000000
0.104167	0.092857	0.159091	0.092857
0.062500	0.035714	0.113636	0.035714
0.062500	0.092857	0.090909	0.092857
0.020833	0.028571	0.068182	0.028571
0.041667	0.000000	0.090909	0.000000
0.020833	0.028571	0.090909	0.028571
0.000000	0.007143	0.113636	0.007143
0.000000	0.000000	0.113636	0.000000
0.000000	0.000000	0.090909	0.000000
0.000000	0.035714	0.090909	0.035714
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.142857	0.045455	0.142857
0.145833	0.021429	0.227273	0.021429
0.145833	0.000000	0.227273	0.000000
0.166667	0.000000	0.250000	0.000000
0.166667	0.000000	0.227273	0.000000
0.166667	0.021429	0.295455	0.021429
0.187500	0.000000	0.250000	0.000000
0.187500	0.007143	0.227273	0.007143
0.208333	0.107143	0.227273	0.107143
0.208333	0.014286	0.204545	0.014286
0.229167	0.000000	0.204545	0.000000
0.187500	0.064286	0.204545	0.064286
0.166667	0.042857	0.181818	0.042857
0.187500	0.064286	0.204545	0.064286
0.187500	0.042857	0.181818	0.042857
0.187500	0.135714	0.181818	0.135714
0.145833	0.071429	0.181818	0.071429
0.125000	0.121429	0.181818	0.121429
0.104167	0.000000	0.159091	0.000000
0.104167	0.007143	0.181818	0.007143
0.125000	0.000000	0.159091	0.000000
0.083333	0.000000	0.159091	0.000000
0.104167	0.007143	0.159091	0.007143
0.041667	0.050000	0.113636	0.050000
0.020833	0.014286	0.090909	0.014286
0.020833	0.000000	0.068182	0.000000
0.041667	0.014286	0.090909	0.014286
0.000000	0.000000	0.113636	0.000000
0.020833	0.078571	0.113636	0.078571
0.041667	0.014286	0.113636	0.014286
0.000000	0.000000	0.090909	0.000000
0.000000	0.000000	0.090909	0.000000
0.000000	0.150000	0.068182	0.150000
0.000000	0.000000	0.068182	0.000000
0.000000	0.035714	0.045455	0.035714
0.000000	0.064286	0.045455	0.064286
0.125000	0.000000	0.295455	0.000000
0.125000	0.000000	0.272727	0.000000
0.125000	0.000000	0.250000	0.000000
0.145833	0.035714	0.250000	0.035714
0.125000	0.000000	0.227273	0.000000
0.125000	0.007143	0.227273	0.007143
0.145833	0.000000	0.227273	0.000000
0.187500	0.000000	0.227273	0.000000
0.166667	0.078571	0.227273	0.078571
0.166667	0.000000	0.227273	0.000000
0.145833	0.064286	0.227273	0.064286
0.166667	0.000000	0.227273	0.000000
0.208333	0.014286	0.204545	0.014286
0.166667	0.000000	0.204545	0.000000
0.187500	0.007143	0.204545	0.007143
0.166667	0.028571	0.227273	0.028571
0.166667	0.000000	0.181818	0.000000
0.166667	0.000000	0.159091	0.000000
0.145833	0.000000	0.181818	0.000000
0.187500	0.000000	0.159091	0.000000
0.166667	0.000000	0.159091	0.000000
0.145833	0.000000	0.159091	0.000000
0.145833	0.000000	0.159091	0.000000
0.125000	0.042857	0.159091	0.042857
0.125000	0.028571	0.159091	0.028571
0.083333	0.042857	0.181818	0.042857
0.104167	0.000000	0.159091	0.000000
0.083333	0.000000	0.159091	0.000000
0.062500	0.035714	0.113636	0.035714
0.041667	0.000000	0.090909	0.000000
0.041667	0.000000	0.090909	0.000000
0.041667	0.000000	0.068182	0.000000
0.041667	0.000000	0.090909	0.000000
0.000000	0.000000	0.113636	0.000000
0.020833	0.028571	0.113636	0.028571
0.000000	0.057143	0.090909	0.057143
0.000000	0.000000	0.068182	0.000000
0.000000	0.050000	0.068182	0.050000
0.000000	0.000000	0.045455	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.057143	0.022727	0.057143
0.000000	0.000000	0.000000	0.000000
0.145833	0.000000	0.272727	0.000000
0.166667	0.057143	0.250000	0.057143
0.125000	0.000000	0.250000	0.000000
0.145833	0.000000	0.250000	0.000000
0.125000	0.014286	0.227273	0.014286
0.125000	0.157143	0.227273	0.157143
0.125000	0.000000	0.204545	0.000000
0.166667	0.014286	0.227273	0.014286
0.166667	0.000000	0.227273	0.000000
0.187500	0.007143	0.227273	0.007143
0.166667	0.042857	0.227273	0.042857
0.166667	0.000000	0.227273	0.000000
0.166667	0.000000	0.204545	0.000000
0.187500	0.121429	0.227273	0.121429
0.187500	0.014286	0.227273	0.014286
0.145833	0.000000	0.204545	0.000000
0.145833	0.014286	0.204545	0.014286
0.145833	0.121429	0.204545	0.121429
0.145833	0.000000	0.159091	0.000000
0.125000	0.000000	0.181818	0.000000
0.125000	0.007143	0.181818	0.007143
0.145833	0.078571	0.204545	0.078571
0.125000	0.000000	0.181818	0.000000
0.145833	0.057143	0.159091	0.057143
0.145833	0.085714	0.181818	0.085714
0.145833	0.000000	0.181818	0.000000
0.104167	0.064286	0.181818	0.064286
0.125000	0.000000	0.159091	0.000000
0.062500	0.028571	0.136364	0.028571
0.041667	0.014286	0.136364	0.014286
0.062500	0.000000	0.113636	0.000000
0.083333	0.000000	0.113636	0.000000
0.041667	0.150000	0.090909	0.150000
0.000000	0.064286	0.113636	0.064286
0.020833	0.000000	0.113636	0.000000
0.000000	0.035714	0.136364	0.035714
0.000000	0.000000	0.090909	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.021429	0.068182	0.021429
0.000000	0.000000	0.022727	0.000000
0.000000	0.057143	0.022727	0.057143
0.000000	0.085714	0.000000	0.085714
0.187500	0.000000	0.295455	0.000000
0.125000	0.000000	0.272727	0.000000
0.166667	0.042857	0.272727	0.042857
0.125000	0.014286	0.272727	0.014286
0.145833	0.000000	0.250000	0.000000
0.166667	0.064286	0.250000	0.064286
0.229167	0.000000	0.272727	0.000000
0.229167	0.000000	0.227273	0.000000
0.166667	0.021429	0.227273	0.021429
0.145833	0.000000	0.227273	0.000000
0.145833	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.166667	0.021429	0.204545	0.021429
0.166667	0.064286	0.204545	0.064286
0.145833	0.000000	0.204545	0.000000
0.145833	0.064286	0.227273	0.064286
0.145833	0.157143	0.227273	0.157143
0.166667	0.178571	0.181818	0.178571
0.125000	0.085714	0.204545	0.085714
0.125000	0.000000	0.204545	0.000000
0.125000	0.000000	0.181818	0.000000
0.125000	0.035714	0.181818	0.035714
0.187500	0.028571	0.204545	0.028571
0.166667	0.000000	0.181818	0.000000
0.166667	0.164286	0.181818	0.164286
0.145833	0.107143	0.204545	0.107143
0.145833	0.000000	0.204545	0.000000
0.166667	0.000000	0.204545	0.000000
0.125000	0.000000	0.181818	0.000000
0.104167	0.000000	0.159091	0.000000
0.083333	0.000000	0.136364	0.000000
0.083333	0.000000	0.113636	0.000000
0.083333	0.085714	0.113636	0.085714
0.083333	0.007143	0.113636	0.007143
0.083333	0.000000	0.113636	0.000000
0.041667	0.000000	0.136364	0.000000
0.062500	0.014286	0.136364	0.014286
0.020833	0.000000	0.136364	0.000000
0.000000	0.000000	0.113636	0.000000
0.000000	0.000000	0.113636	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.035714	0.022727	0.035714
0.000000	0.050000	0.022727	0.050000
0.125000	0.042857	0.272727	0.042857
0.145833	0.028571	0.250000	0.028571
0.125000	0.007143	0.250000	0.007143
0.125000	0.000000	0.227273	0.000000
0.125000	0.000000	0.272727	0.000000
0.166667	0.000000	0.250000	0.000000
0.187500	0.000000	0.250000	0.000000
0.166667	0.000000	0.250000	0.000000
0.208333	0.000000	0.250000	0.000000
0.125000	0.000000	0.227273	0.000000
0.187500	0.000000	0.227273	0.000000
0.145833	0.000000	0.227273	0.000000
0.208333	0.042857	0.227273	0.042857
0.166667	0.000000	0.227273	0.000000
0.166667	0.057143	0.204545	0.057143
0.166667	0.000000	0.204545	0.000000
0.145833	0.085714	0.227273	0.085714
0.145833	0.000000	0.204545	0.000000
0.125000	0.042857	0.204545	0.042857
0.145833	0.000000	0.204545	0.000000
0.166667	0.035714	0.181818	0.035714
0.145833	0.000000	0.181818	0.000000
0.166667	0.021429	0.181818	0.021429
0.166667	0.007143	0.204545	0.007143
0.166667	0.000000	0.204545	0.000000
0.208333	0.035714	0.204545	0.035714
0.208333	0.050000	0.204545	0.050000
0.187500	0.014286	0.204545	0.014286
0.187500	0.064286	0.204545	0.064286
0.187500	0.071429	0.227273	0.071429
0.145833	0.107143	0.204545	0.107143
0.125000	0.014286	0.159091	0.014286
0.125000	0.014286	0.159091	0.014286
0.083333	0.000000	0.136364	0.000000
0.104167	0.035714	0.181818	0.035714
0.083333	0.000000	0.136364	0.000000
0.041667	0.000000	0.136364	0.000000
0.041667	0.000000	0.136364	0.000000
0.020833	0.085714	0.136364	0.085714
0.000000	0.000000	0.113636	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.000000	0.045455	0.000000
0.000000	0.035714	0.022727	0.035714
0.000000	0.042857	0.000000	0.042857
0.145833	0.064286	0.227273	0.064286
0.125000	0.042857	0.250000	0.042857
0.145833	0.000000	0.227273	0.000000
0.145833	0.000000	0.227273	0.000000
0.166667	0.050000	0.250000	0.050000
0.166667	0.000000	0.227273	0.000000
0.145833	0.085714	0.227273	0.085714
0.145833	0.000000	0.250000	0.000000
0.166667	0.000000	0.250000	0.000000
0.166667	0.200000	0.250000	0.200000
0.187500	0.000000	0.227273	0.000000
0.125000	0.028571	0.227273	0.028571
0.166667	0.035714	0.227273	0.035714
0.187500	0.035714	0.250000	0.035714
0.166667	0.107143	0.227273	0.107143
0.166667	0.107143	0.227273	0.107143
0.187500	0.021429	0.204545	0.021429
0.187500	0.085714	0.227273	0.085714
0.166667	0.078571	0.227273	0.078571
0.166667	0.000000	0.204545	0.000000
0.166667	0.078571	0.227273	0.078571
0.145833	0.014286	0.204545	0.014286
0.145833	0.028571	0.204545	0.028571
0.187500	0.042857	0.204545	0.042857
0.229167	0.035714	0.204545	0.035714
0.187500	0.014286	0.227273	0.014286
0.250000	0.000000	0.250000	0.000000
0.250000	0.064286	0.227273	0.064286
0.229167	0.000000	0.227273	0.000000
0.250000	0.064286	0.227273	0.064286
0.187500	0.064286	0.227273	0.064286
0.208333	0.014286	0.204545	0.014286
0.187500	0.000000	0.204545	0.000000
0.166667	0.078571	0.204545	0.078571
0.125000	0.000000	0.181818	0.000000
0.145833	0.092857	0.181818	0.092857
0.083333	0.000000	0.159091	0.000000
0.083333	0.007143	0.136364	0.007143
0.041667	0.000000	0.136364	0.000000
0.020833	0.000000	0.113636	0.000000
0.020833	0.000000	0.113636	0.000000
0.000000	0.028571	0.068182	0.028571
0.000000	0.000000	0.045455	0.000000
0.000000	0.000000	0.068182	0.000000
0.000000	0.000000	0.090909	0.000000
0.000000	0.050000	0.068182	0.050000
0.000000	0.057143	0.022727	0.057143
0.000000	0.000000	0.022727	0.000000
0.000000	0.000000	0.000000	0.000000
0.145833	0.014286	0.227273	0.014286
0.166667	0.000000	0.227273	0.000000
0.166667	0.000000	0.204545	0.000000
0.166667	0.000000	0.227273	0.000000
0.187500	0.064286	0.227273	0.064286
0.187500	0.057143	0.227273	0.057143
0.166667	0.000000	0.250000	0.000000
0.125000	0.000000	0.227273	0.000000
0.125000	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.145833	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.187500	0.000000	0.227273	0.000000
0.145833	0.071429	0.227273	0.071429
0.166667	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.166667	0.000000	0.227273	0.000000
0.187500	0.042857	0.227273	0.042857
