foxf1_normalized	bmp4_normalized
0.113588	0.006849
0.171975	0.002417
0.073248	0.003626
0.220807	0.015713
0.085987	0.023368
0.359873	0.029210
0.246285	0.011080
0.052017	0.016519
0.254777	0.020346
0.252654	0.014504
0.165605	0.012288
0.251592	0.005439
0.283439	0.027599
0.202760	0.017929
0.244161	0.032635
0.142251	0.026994
0.283439	0.019541
0.295117	0.021958
0.282378	0.019944
0.167728	0.023973
0.210191	0.003828
0.131635	0.006446
0.193206	0.000000
0.188960	0.006648
0.149682	0.015512
0.278132	0.006446
0.237792	0.020548
0.274947	0.026591
0.348195	0.036664
0.128450	0.008662
0.447983	0.006849
0.273885	0.005641
0.196391	0.010677
0.114650	0.024376
0.305732	0.037873
0.235669	0.016720
0.167728	0.016519
0.174098	0.022160
0.284501	0.031426
0.222930	0.019339
0.288747	0.037268
0.261146	0.033642
0.145435	0.041096
0.212314	0.031023
0.161359	0.016519
0.297240	0.016720
0.141189	0.027599
0.197452	0.037873
0.245223	0.036060
0.210191	0.026591
0.182590	0.043513
0.188960	0.035052
0.264331	0.055399
0.317410	0.036463
0.250531	0.007655
0.285563	0.009871
0.268577	0.003022
0.229299	0.001813
0.025478	0.009065
0.230361	0.003425
0.208068	0.014102
0.314225	0.036261
0.154989	0.019742
0.141189	0.000806
0.151805	0.016317
0.110403	0.013296
0.215499	0.025584
0.182590	0.019944
0.209130	0.024778
0.162420	0.024577
0.259023	0.017728
0.223992	0.029009
0.141189	0.016922
0.188960	0.021958
0.273885	0.017123
0.244161	0.026793
0.205945	0.018936
0.159236	0.024980
0.195329	0.024778
0.233546	0.017123
0.223992	0.021958
0.091295	0.013296
0.160297	0.012691
0.277070	0.014907
0.228238	0.005439
0.166667	0.018131
0.203822	0.016317
0.229299	0.007857
0.194268	0.005238
0.042463	0.000806
0.149682	0.011483
0.062633	0.013296
0.170913	0.017929
0.315287	0.022160
0.335456	0.033441
0.256900	0.039484
0.248408	0.032836
0.352442	0.033642
0.286624	0.032232
0.164544	0.030218
0.227176	0.047744
0.296178	0.026591
0.220807	0.031829
0.267516	0.048550
0.246285	0.044319
0.317410	0.029412
0.221868	0.021958
0.226115	0.055802
0.283439	0.029815
0.183652	0.035052
0.203822	0.036261
0.262208	0.047945
0.161359	0.020951
0.177282	0.032836
0.184713	0.036664
0.234607	0.027397
0.124204	0.045326
0.292994	0.028203
0.316348	0.032232
0.188960	0.002015
0.219745	0.011483
0.299363	0.004230
0.226115	0.017929
0.273885	0.022562
0.138004	0.001813
0.201699	0.020145
0.233546	0.016720
0.352442	0.017325
0.112527	0.002820
0.177282	0.006648
0.110403	0.007655
0.253715	0.006446
0.290870	0.010878
0.133758	0.014504
0.219745	0.009670
0.212314	0.015915
0.150743	0.017526
0.173036	0.012691
0.268577	0.008864
0.213376	0.015915
0.121019	0.008662
0.135881	0.024778
0.239915	0.017526
0.195329	0.026793
0.230361	0.009468
0.154989	0.032836
0.112527	0.022965
0.304671	0.017728
0.244161	0.023973
0.100849	0.022160
0.279193	0.035254
0.135881	0.041096
0.232484	0.039686
0.102972	0.021152
0.282378	0.034448
0.214437	0.030620
0.128450	0.022562
0.317410	0.038678
0.226115	0.020145
0.115711	0.025786
0.160297	0.018131
0.179406	0.015713
0.238854	0.012691
0.306794	0.014706
0.212314	0.030620
0.285563	0.018735
0.160297	0.007857
0.101911	0.018533
0.280255	0.042506
0.217622	0.030822
0.250531	0.021152
0.114650	0.047341
0.161359	0.027196
0.211253	0.037067
0.269639	0.038276
0.094480	0.013094
0.236730	0.017526
0.097665	0.005842
0.186837	0.013900
0.191083	0.009267
0.187898	0.009065
0.260085	0.003425
0.164544	0.022965
0.108280	0.020548
0.246285	0.006849
0.190021	0.007454
0.238854	0.020548
0.200637	0.042103
0.278132	0.054392
0.213376	0.038477
0.047771	0.030822
0.291932	0.038276
0.308917	0.040290
0.193206	0.030218
0.333333	0.048952
0.161359	0.038477
0.236730	0.042103
0.225053	0.029009
0.164544	0.026793
0.166667	0.033844
0.217622	0.041297
0.228238	0.017325
0.152866	0.034448
0.246285	0.020145
0.238854	0.037873
0.226115	0.036261
0.219745	0.043513
0.216561	0.035858
0.324841	0.055399
0.287686	0.057413
0.311040	0.033239
0.328025	0.036865
0.064756	0.037268
0.342887	0.046938
0.195329	0.037067
0.195329	0.046938
0.285563	0.064061
0.209130	0.041700
0.270701	0.069299
0.249469	0.067687
0.268577	0.008461
0.338641	0.000201
0.261146	0.011483
0.246285	0.005238
0.264331	0.009468
0.330149	0.004029
0.243100	0.004432
0.256900	0.020145
0.328025	0.014504
0.156051	0.003022
0.184713	0.005036
0.349257	0.008461
0.250531	0.020951
0.322718	0.016116
0.238854	0.031225
0.212314	0.010878
0.292994	0.005439
0.100849	0.009468
0.289809	0.005842
0.158174	0.005238
0.179406	0.011684
0.216561	0.009267
0.248408	0.011684
0.085987	0.018131
0.099788	0.021757
0.067941	0.010677
0.180467	0.016720
0.140127	0.013497
0.088110	0.007655
0.192144	0.025987
0.111465	0.012087
0.170913	0.012893
0.094480	0.007857
0.271762	0.005238
0.188960	0.008864
0.170913	0.000403
0.237792	0.024778
0.257962	0.012087
0.088110	0.003425
0.094480	0.003626
0.195329	0.012691
0.234607	0.010677
0.316348	0.011080
0.154989	0.009065
0.193206	0.001410
0.121019	0.006648
0.010616	0.011080
0.064756	0.031829
0.175159	0.018131
0.250531	0.024174
0.104034	0.011886
0.215499	0.030419
0.201699	0.008662
0.130573	0.011886
0.271762	0.029210
0.218684	0.028807
0.043524	0.025987
0.303609	0.041096
0.229299	0.033441
0.279193	0.038074
0.231423	0.054996
0.161359	0.070508
0.283439	0.064464
0.298301	0.051168
0.299363	0.049960
0.236730	0.038678
0.096603	0.019339
0.118896	0.022965
0.199575	0.013900
0.200637	0.021958
0.233546	0.029815
0.211253	0.016317
0.213376	0.022764
0.227176	0.037873
0.338641	0.026189
0.196391	0.025181
0.199575	0.053586
0.175159	0.044923
0.165605	0.047542
0.238854	0.054190
0.211253	0.054996
0.211253	0.046334
0.236730	0.050967
0.280255	0.048952
0.202760	0.028002
0.102972	0.023167
0.188960	0.012893
0.229299	0.013900
0.385350	0.005439
0.302548	0.003425
0.191083	0.016519
0.289809	0.003828
0.370488	0.016519
0.240977	0.008864
0.168790	0.004432
0.247346	0.021152
0.257962	0.027196
0.063694	0.033038
0.193206	0.040290
0.148620	0.031426
0.131635	0.014907
0.226115	0.043312
0.238854	0.042506
0.234607	0.041297
0.313163	0.037671
0.212314	0.034851
0.205945	0.051974
0.117834	0.032031
0.184713	0.048147
0.188960	0.044319
0.236730	0.037067
0.317410	0.034851
0.276008	0.049960
0.209130	0.047744
0.255839	0.038477
0.111465	0.030218
0.083864	0.039081
0.278132	0.049154
0.331210	0.037671
0.255839	0.045125
0.283439	0.038276
0.263270	0.047341
0.252654	0.047341
0.157113	0.046737
0.159236	0.045125
0.220807	0.050967
0.350318	0.056406
0.298301	0.031225
0.195329	0.044319
0.238854	0.069299
0.250531	0.060838
0.270701	0.068292
0.265393	0.054795
0.161359	0.040089
0.169851	0.043312
0.325902	0.041096
0.253715	0.042506
0.144374	0.052981
0.304671	0.059831
0.459660	0.067284
0.251592	0.085214
0.169851	0.094480
0.272824	0.059629
0.253715	0.052981
0.355626	0.046334
0.165605	0.053586
0.274947	0.040089
0.217622	0.020749
0.244161	0.020346
0.175159	0.014706
0.230361	0.004230
0.183652	0.009670
0.247346	0.023368
0.214437	0.013296
0.184713	0.019339
0.217622	0.022562
0.214437	0.016720
0.173036	0.010274
0.279193	0.021958
0.257962	0.009468
0.112527	0.017526
0.350318	0.013094
0.286624	0.008662
0.195329	0.006245
0.320594	0.002619
0.191083	0.005641
0.242038	0.006044
0.205945	0.000806
0.198514	0.024376
0.279193	0.033239
0.199575	0.027196
0.099788	0.013296
0.091295	0.020951
0.163482	0.018131
0.123142	0.019138
0.183652	0.026189
0.162420	0.017929
0.146497	0.006849
0.247346	0.027599
0.145435	0.014706
0.111465	0.016720
0.240977	0.024778
0.138004	0.013094
0.227176	0.017929
0.240977	0.029009
0.154989	0.016922
0.143312	0.014504
0.130573	0.019339
0.176221	0.015310
0.147558	0.016720
0.197452	0.017123
0.182590	0.038477
0.281316	0.022764
0.270701	0.030218
0.254777	0.030822
0.162420	0.023771
0.176221	0.024174
0.090234	0.031426
0.122081	0.009267
0.216561	0.005439
0.159236	0.012893
0.131635	0.016519
0.192144	0.018936
0.156051	0.009871
0.212314	0.027800
0.135881	0.019944
0.078556	0.007252
0.121019	0.012087
0.233546	0.030620
0.218684	0.016922
0.179406	0.011080
0.216561	0.030822
0.215499	0.022562
0.162420	0.032836
0.081741	0.042103
0.143312	0.044521
0.162420	0.039686
0.260085	0.017728
0.276008	0.034649
0.134820	0.034247
0.233546	0.026390
0.075372	0.032635
0.287686	0.040894
0.179406	0.030016
0.024416	0.048751
0.302548	0.069702
0.187898	0.103143
0.231423	0.090250
0.274947	0.085214
0.198514	0.084408
0.193206	0.079170
0.298301	0.059629
0.158174	0.035052
0.267516	0.020346
0.178344	0.023973
0.372611	0.029412
0.098726	0.020951
0.207006	0.014102
0.328025	0.036463
0.168790	0.031225
0.229299	0.034045
0.191083	0.040693
0.184713	0.038074
0.209130	0.049355
0.253715	0.061039
0.211253	0.059025
0.099788	0.066277
0.136943	0.053586
0.256900	0.076350
0.160297	0.037067
0.255839	0.023368
0.268577	0.035858
0.127389	0.026189
0.040340	0.020346
0.202760	0.021555
0.328025	0.022965
0.146497	0.011281
0.269639	0.002015
0.260085	0.023368
0.179406	0.014706
0.261146	0.028203
0.153928	0.026994
0.222930	0.014303
0.276008	0.019541
0.294055	0.002417
0.394904	0.022562
0.141189	0.009871
0.268577	0.025786
0.186837	0.045528
0.190021	0.026994
0.250531	0.032232
0.197452	0.037067
0.170913	0.038074
0.199575	0.023167
0.306794	0.021958
0.301486	0.035858
0.193206	0.046132
0.140127	0.034247
0.239915	0.053586
0.204883	0.050766
0.384289	0.037873
0.180467	0.033038
0.263270	0.043715
0.297240	0.049758
0.226115	0.049154
0.315287	0.039484
0.302548	0.059831
0.217622	0.058622
0.171975	0.055399
0.147558	0.048147
0.254777	0.025181
0.266454	0.044521
0.211253	0.049758
0.242038	0.030016
0.252654	0.032836
0.192144	0.041096
0.136943	0.033844
0.187898	0.039887
0.274947	0.045125
0.284501	0.057615
0.075372	0.048348
0.376858	0.044319
0.123142	0.038880
0.347134	0.048348
0.216561	0.029613
0.218684	0.027599
0.202760	0.031829
0.358811	0.048550
0.195329	0.039686
0.273885	0.044521
0.236730	0.059226
0.272824	0.063457
0.179406	0.080379
0.341826	0.107172
0.240977	0.092466
0.306794	0.087228
0.135881	0.079774
0.257962	0.084005
0.297240	0.069500
0.222930	0.034851
0.185775	0.013497
0.166667	0.041297
0.209130	0.044319
0.264331	0.050967
0.223992	0.066277
0.167728	0.050363
0.150743	0.034448
0.232484	0.047139
0.247346	0.033441
0.242038	0.022965
0.346072	0.022361
0.148620	0.008864
0.280255	0.015713
0.168790	0.008058
0.254777	0.020548
0.337580	0.010475
0.350318	0.015109
0.415074	0.020145
0.336518	0.017123
0.234607	0.014303
0.093418	0.000403
0.084926	0.008058
0.247346	0.020346
0.321656	0.020346
0.249469	0.031829
0.162420	0.016720
0.176221	0.008058
0.348195	0.015512
0.248408	0.004432
0.223992	0.001410
0.232484	0.010073
0.227176	0.005439
0.223992	0.005238
0.095541	0.012288
0.218684	0.022562
0.177282	0.025786
0.159236	0.021354
0.102972	0.015109
0.132696	0.025383
0.078556	0.018936
0.101911	0.024174
0.226115	0.027800
0.101911	0.023771
0.156051	0.036060
0.020170	0.030016
0.139066	0.011281
0.133758	0.021152
0.252654	0.008864
0.132696	0.019944
0.125265	0.007051
0.312102	0.039484
0.169851	0.009468
0.209130	0.029412
0.142251	0.023973
0.104034	0.029210
0.099788	0.017325
0.270701	0.025786
0.205945	0.024577
0.163482	0.030822
0.130573	0.025987
0.276008	0.028203
0.239915	0.029613
0.285563	0.019541
0.020170	0.027599
0.192144	0.016116
0.195329	0.044118
0.274947	0.040290
0.179406	0.014504
0.109342	0.032434
0.161359	0.030016
0.276008	0.024174
0.113588	0.039686
0.135881	0.031023
0.188960	0.020749
0.287686	0.041499
0.254777	0.007857
0.230361	0.030218
0.165605	0.025786
0.205945	0.017929
0.281316	0.020145
0.221868	0.030419
0.185775	0.003022
0.126327	0.031023
0.216561	0.024577
0.228238	0.030822
0.201699	0.025786
0.286624	0.029613
0.301486	0.033038
0.153928	0.021555
0.236730	0.023167
0.185775	0.039887
0.229299	0.043715
0.129512	0.051974
0.142251	0.033844
0.350318	0.042103
0.233546	0.034448
0.220807	0.049557
0.256900	0.063054
0.216561	0.044319
0.223992	0.049355
0.219745	0.053787
0.154989	0.068896
0.306794	0.102941
0.270701	0.113014
0.246285	0.107776
0.111465	0.119662
0.257962	0.109186
0.117834	0.092466
0.253715	0.055600
0.145435	0.031225
0.305732	0.028807
0.193206	0.019742
0.285563	0.023368
0.203822	0.022965
0.279193	0.023570
0.264331	0.057615
0.270701	0.025383
0.130573	0.038074
0.338641	0.050967
0.242038	0.053183
0.199575	0.044118
0.259023	0.070911
0.245223	0.076148
0.302548	0.059428
0.272824	0.064867
0.210191	0.069903
0.197452	0.068896
0.187898	0.046132
0.087049	0.025584
0.182590	0.018332
0.131635	0.025584
0.127389	0.005842
0.116773	0.010878
0.231423	0.020749
0.131635	0.008461
0.277070	0.017728
0.180467	0.023368
0.174098	0.019339
0.289809	0.016922
0.222930	0.022160
0.306794	0.013094
0.326964	0.025383
0.201699	0.033239
0.288747	0.031628
0.288747	0.031023
0.167728	0.016317
0.207006	0.046132
0.281316	0.024577
0.165605	0.017123
0.301486	0.020749
0.243100	0.028606
0.225053	0.018735
0.230361	0.026793
0.276008	0.050161
0.228238	0.040693
0.404459	0.052176
0.212314	0.055197
0.305732	0.055399
0.311040	0.033642
0.136943	0.033038
0.295117	0.047341
0.277070	0.035455
0.230361	0.053384
0.119958	0.031829
0.170913	0.052176
0.221868	0.048952
0.315287	0.047139
0.170913	0.058219
