foxf1_bin	bmp4_bin	pixel_count
0	0	15
0	1	17
0	2	12
0	3	27
0	4	19
0	5	19
0	6	25
0	7	24
0	8	23
0	9	12
0	10	17
0	11	17
0	12	26
0	13	14
0	14	10
0	15	21
0	16	16
0	17	15
0	18	5
0	19	7
0	20	13
0	21	9
0	22	3
0	23	0
0	24	8
0	25	4
0	26	1
0	27	3
0	28	3
0	29	2
0	30	2
0	31	0
0	32	0
0	33	0
0	34	0
0	35	0
0	36	0
0	37	0
0	38	0
0	39	0
0	40	0
0	41	0
0	42	0
0	43	0
0	44	0
0	45	0
0	46	0
0	47	0
0	48	0
0	49	0
0	50	0
0	51	0
0	52	0
0	53	0
0	54	0
0	55	0
0	56	0
0	57	0
0	58	0
0	59	0
0	60	0
0	61	0
0	62	0
0	63	0
0	64	0
0	65	0
0	66	0
0	67	0
0	68	0
0	69	0
0	70	0
0	71	0
0	72	0
0	73	0
0	74	0
0	75	0
0	76	0
0	77	0
0	78	0
0	79	0
0	80	0
0	81	0
0	82	0
0	83	0
0	84	0
0	85	0
0	86	0
0	87	0
0	88	0
0	89	0
0	90	0
0	91	0
0	92	0
0	93	0
0	94	0
0	95	0
1	0	21
1	1	43
1	2	29
1	3	55
1	4	53
1	5	45
1	6	78
1	7	47
1	8	57
1	9	56
1	10	82
1	11	60
1	12	55
1	13	65
1	14	54
1	15	55
1	16	72
1	17	58
1	18	38
1	19	47
1	20	25
1	21	24
1	22	24
1	23	23
1	24	14
1	25	14
1	26	8
1	27	9
1	28	7
1	29	5
1	30	1
1	31	0
1	32	1
1	33	2
1	34	1
1	35	0
1	36	0
1	37	0
1	38	0
1	39	0
1	40	0
1	41	0
1	42	0
1	43	0
1	44	0
1	45	0
1	46	0
1	47	0
1	48	0
1	49	0
1	50	0
1	51	0
1	52	0
1	53	0
1	54	0
1	55	0
1	56	0
1	57	0
1	58	0
1	59	0
1	60	0
1	61	0
1	62	0
1	63	0
1	64	0
1	65	0
1	66	0
1	67	0
1	68	0
1	69	0
1	70	0
1	71	0
1	72	0
1	73	0
1	74	0
1	75	0
1	76	0
1	77	0
1	78	0
1	79	0
1	80	0
1	81	0
1	82	0
1	83	0
1	84	0
1	85	0
1	86	0
1	87	0
1	88	0
1	89	0
1	90	0
1	91	0
1	92	0
1	93	0
1	94	0
1	95	0
2	0	57
2	1	45
2	2	82
2	3	95
2	4	102
2	5	123
2	6	154
2	7	151
2	8	159
2	9	163
2	10	203
2	11	165
2	12	160
2	13	203
2	14	183
2	15	149
2	16	158
2	17	166
2	18	158
2	19	131
2	20	108
2	21	88
2	22	62
2	23	73
2	24	56
2	25	45
2	26	25
2	27	30
2	28	29
2	29	16
2	30	19
2	31	8
2	32	2
2	33	3
2	34	2
2	35	2
2	36	1
2	37	0
2	38	0
2	39	0
2	40	1
2	41	1
2	42	0
2	43	0
2	44	0
2	45	0
2	46	1
2	47	0
2	48	0
2	49	0
2	50	0
2	51	0
2	52	0
2	53	0
2	54	0
2	55	0
2	56	0
2	57	0
2	58	0
2	59	0
2	60	0
2	61	0
2	62	0
2	63	0
2	64	0
2	65	0
2	66	0
2	67	0
2	68	0
2	69	0
2	70	0
2	71	0
2	72	0
2	73	0
2	74	0
2	75	0
2	76	0
2	77	0
2	78	0
2	79	0
2	80	0
2	81	0
2	82	0
2	83	0
2	84	0
2	85	0
2	86	0
2	87	0
2	88	0
2	89	0
2	90	0
2	91	0
2	92	0
2	93	0
2	94	0
2	95	0
3	0	87
3	1	114
3	2	141
3	3	184
3	4	174
3	5	245
3	6	290
3	7	299
3	8	317
3	9	366
3	10	447
3	11	432
3	12	435
3	13	478
3	14	458
3	15	403
3	16	384
3	17	436
3	18	383
3	19	356
3	20	373
3	21	223
3	22	217
3	23	212
3	24	181
3	25	135
3	26	110
3	27	87
3	28	75
3	29	39
3	30	45
3	31	28
3	32	23
3	33	12
3	34	7
3	35	7
3	36	6
3	37	6
3	38	0
3	39	0
3	40	0
3	41	0
3	42	0
3	43	0
3	44	0
3	45	0
3	46	0
3	47	0
3	48	0
3	49	0
3	50	0
3	51	0
3	52	0
3	53	0
3	54	0
3	55	0
3	56	0
3	57	0
3	58	0
3	59	0
3	60	0
3	61	0
3	62	0
3	63	0
3	64	0
3	65	0
3	66	0
3	67	0
3	68	0
3	69	0
3	70	0
3	71	0
3	72	0
3	73	0
3	74	0
3	75	0
3	76	0
3	77	0
3	78	0
3	79	0
3	80	0
3	81	0
3	82	0
3	83	0
3	84	0
3	85	0
3	86	0
3	87	0
3	88	0
3	89	0
3	90	0
3	91	0
3	92	0
3	93	0
3	94	0
3	95	0
4	0	151
4	1	164
4	2	228
4	3	283
4	4	361
4	5	433
4	6	604
4	7	585
4	8	621
4	9	773
4	10	952
4	11	931
4	12	941
4	13	1109
4	14	988
4	15	955
4	16	990
4	17	1039
4	18	938
4	19	859
4	20	874
4	21	657
4	22	614
4	23	553
4	24	489
4	25	373
4	26	317
4	27	268
4	28	206
4	29	165
4	30	140
4	31	87
