quantity	value	description
n_cysts	14	image stacks pooled; the n printed on the panel
pixel_count	15401531	in-mask pixels pooled over all z planes of all stacks
foxf1_cutoff_raw	331.0	FOXF1 cutoff, background-subtracted intensity
bmp4_cutoff_raw	149.0	BMP4 cutoff, background-subtracted intensity
foxf1_cutoff_display	0.22066666666666668	FOXF1 cutoff in display units (dashed line)
bmp4_cutoff_display	0.745	BMP4 cutoff in display units (dashed line)
foxf1_display_scale_raw	1500.0	raw FOXF1 intensity equal to 1 display unit
bmp4_display_scale_raw	200.0	raw BMP4 intensity equal to 1 display unit
foxf1_axis_max_display	1.0666666666666667	largest x-axis limit, display units
bmp4_axis_max_display	1.75	largest y-axis limit, display units
bins	96	bins per axis
display_clip_quantile	0.995	colour scale clipped at this quantile of non-empty bins
contour_sigma	1.3	Gaussian smoothing for the contours, in bins
pixels_RFP-/YFP-	6842618	pixels in quadrant RFP-/YFP-
pixels_RFP+/YFP-	4712669	pixels in quadrant RFP+/YFP-
pixels_RFP-/YFP+	416513	pixels in quadrant RFP-/YFP+
pixels_RFP+/YFP+	3429731	pixels in quadrant RFP+/YFP+
sum_x	4587374.424222194	sum of FOXF1 display values (x)
sum_y	7390865.920011806	sum of BMP4 display values (y)
sum_xx	2767777.998346925	sum of x squared
sum_yy	6710658.664544246	sum of y squared
sum_xy	3583524.1752699763	sum of x times y
pearson_r_squared	0.43083226816692327	as computed above with np.corrcoef
