cyst_id,roi_file,scene,scene_index,source_file,source_mode,bead_present,distance_mode,angle_mode,pixel_size_um,psmad_image_path,dapi_image_path,array_center_x_px,array_center_y_px,ap_defined_from_array_center,sample_region_distance,sample_region_orientation,shell_depth_px,distance_crescent_half_angle_deg,shell_n_px,distance_region_n_px,bead_x_px,bead_y_px,centroid_x_px,centroid_y_px,posterior_x_px,posterior_y_px,anterior_x_px,anterior_y_px,nearest_surface_x_px,nearest_surface_y_px,distance_centroid_bead_um,distance_d_um,theta_b_deg,theta_peak_deg,theta_peak_rel_bead_deg,theta_moment_deg,theta_moment_rel_bead_deg,theta_moment_strength,roi_area_px,ratio_peak,ratio_peak_top01,ratio_peak_top05,ratio_peak_top20,ratio_peak_top30,ratio_p99,ratio_p95,ratio_p90,ratio_raw_max,ratio_mean_shell,ratio_median_shell,ratio_mean_distance_region,ratio_median_distance_region,ratio_near_q05_mean,ratio_near_q10_mean,ratio_near_q20_mean,ratio_near_q30_mean,ratio_bead_crescent_30_mean,ratio_bead_crescent_45_mean,ratio_bead_crescent_60_mean,ratio_bead_crescent_90_mean,ratio_norm_denom,psmad_bg_mu_raw,psmad_bg_sigma_raw,dapi_bg_mu_raw,dapi_bg_sigma_raw,distance_support_min_pixels,distance_support_window_bins,n_distance_bins_kept,n_distance_bins_trimmed_left,n_distance_bins_trimmed_right,n_candidate_beads,primary_bead_index,primary_bead_distance_px,primary_bead_distance_um,secondary_bead_index,secondary_bead_distance_px,secondary_bead_distance_um,assignment_margin_px,assignment_margin_um,bead_assignment_ambiguous,review_action,include_in_downstream_analysis,review_reason,distance_plot_um,distance_plot_note
manual_s00_cyst_0001,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s00_cyst_0001.json,scene00,0,scene00_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene00_psmad.tif,results/array_crops_39/scene_images/scene00_dapi.tif,687.601644962303,687.8941740918438,True,full_peripheral_shell,full_peripheral_shell,55.0,,37591,37516,618.5510829493089,1198.421266129032,657.1937994289613,508.81024332314223,832.5,431.0,481.5,546.0,589.0,606.5,897.9007137249683,770.4559997435101,111.34786883760992,-17.5,-128.84786883760992,-62.31282746947765,-173.66069630708756,0.2184236468249025,39577,0.341912315455454,0.41225168885702784,0.36495484071753936,0.31889991083347213,0.3053606776331118,0.38778403550386426,0.33181262016296387,0.30859534442424774,0.4856330454349518,0.2597929137005226,0.2532065212726593,0.2595478626273343,0.2531015872955322,0.24962006687228358,0.24032607326693117,0.23899220215724604,0.2418074211521924,0.22449604173970808,0.22935665038795186,0.23217352683259218,0.2470724631853571,0.33313608169555664,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,28.0,0.0,1.0,1.0,1.0,592.6584613411616,770.4559997435101,,,,,,False,keep,True,,770.4559997435101,measured_d
manual_s00_cyst_0002,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s00_cyst_0002.json,scene00,0,scene00_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene00_psmad.tif,results/array_crops_39/scene_images/scene00_dapi.tif,687.601644962303,687.8941740918438,True,full_peripheral_shell,full_peripheral_shell,55.0,,18121,18046,618.5510829493089,1198.421266129032,859.7256691938728,627.4218886997783,939.5,652.0,772.5,634.0,811.0,686.5,805.7960315281193,710.9704259514864,106.74602835428357,17.5,-89.24602835428357,-16.66318978052752,-123.40921813481108,0.4410843568269349,19389,0.3522089815866254,0.45115993546517513,0.39018790874370307,0.32117890964914886,0.30615753909186944,0.4221454575657844,0.33701877295970917,0.3008725941181183,0.5216077566146851,0.258429714753154,0.2533317506313324,0.2578167956523497,0.2531176209449768,0.22932165371025123,0.22331784717594158,0.22574695015630564,0.23300870597406556,0.23003043392775324,0.23024739497326696,0.2339228936623721,0.24629509620051757,0.34277525544166565,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,20.0,0.0,1.0,1.0,1.0,546.9003276549895,710.9704259514864,,,,,,False,keep,True,,710.9704259514864,measured_d
manual_s00_cyst_0004,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s00_cyst_0004.json,scene00,0,scene00_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene00_psmad.tif,results/array_crops_39/scene_images/scene00_dapi.tif,687.601644962303,687.8941740918438,True,full_peripheral_shell,full_peripheral_shell,55.0,,18476,18117,618.5510829493089,1198.421266129032,465.56640181611806,723.7838424714997,446.0,641.5,488.0,810.5,498.0,807.5,648.2882416410818,531.8128240758946,176.09132472372804,-122.5,61.40867527627199,-108.77815032682967,75.1305249494423,0.35467030988743714,20263,0.4010337265352277,0.4610387864676151,0.42369242065131796,0.3767040088180675,0.3616340308065709,0.4423534369468689,0.3935291647911073,0.3671402156352997,0.5450960993766785,0.3049184326497823,0.29668062925338745,0.3024575934500833,0.2954457700252533,0.34662936497931973,0.3308607686812646,0.31775852842523694,0.31377346200472384,0.31280348207326303,0.3092218431922385,0.3087386653738398,0.3073012262695541,0.4039728567004204,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,21.0,1.0,1.0,1.0,1.0,409.08678775068813,531.8128240758946,,,,,,False,keep,True,,531.8128240758946,measured_d
manual_s00_cyst_0005,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s00_cyst_0005.json,scene00,0,scene00_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene00_psmad.tif,results/array_crops_39/scene_images/scene00_dapi.tif,687.601644962303,687.8941740918438,True,full_peripheral_shell,full_peripheral_shell,55.0,,19447,19447,618.5510829493089,1198.421266129032,805.1045910044279,808.8247494756467,896.5,820.0,721.5,788.0,778.0,881.5,561.5453148178226,461.20336931136893,105.22439857611018,62.5,-42.72439857611016,40.14582962160164,-65.07856895450854,0.5506706015520632,21455,0.3847695492686833,0.4529583580982991,0.40830384242326356,0.35717336099527797,0.3393651877904204,0.4269171696901322,0.37710369527339943,0.347864478826523,0.5510334968566895,0.26696562485970243,0.25342243909835815,0.26696562485970243,0.25342243909835815,0.3100950331230938,0.30627483245952575,0.30137571763716503,0.29495784106322,0.29433874406313704,0.29450864570258134,0.2920868249894906,0.2831221491532327,0.37710369527339943,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,20.0,0.0,0.0,1.0,1.0,354.77182254720685,461.20336931136893,,,,,,False,keep,True,,461.20336931136893,measured_d
manual_s00_cyst_0006,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s00_cyst_0006.json,scene00,0,scene00_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene00_psmad.tif,results/array_crops_39/scene_images/scene00_dapi.tif,687.601644962303,687.8941740918438,True,full_peripheral_shell,full_peripheral_shell,55.0,,18233,18029,618.5510829493089,1198.421266129032,650.0284357795848,875.7840800040406,731.5,908.0,567.5,867.0,643.0,946.5,421.41977429165945,329.0363275466408,81.53605182331488,92.5,10.963948176685108,81.79061616309994,0.25456433978507675,0.5416013069219884,19799,0.5151810245386971,0.5714759816780933,0.5354436441033484,0.4875121255318985,0.46569729760980666,0.5519240427017212,0.510064959526062,0.48180549740791323,0.6406476497650146,0.3493920879077187,0.33135664463043213,0.34956428002723344,0.3314041197299957,0.49149451588183446,0.48212187240934345,0.4701642543077469,0.452779486993034,0.4529158450649111,0.44444946550239983,0.4395672788313769,0.41859796233419044,0.5098290801048277,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,19.0,1.0,1.0,1.0,1.0,253.10486734356982,329.0363275466408,,,,,,False,keep,True,,329.0363275466408,measured_d
manual_s01_cyst_0001,<from_label_scene_01>,scene01,1,scene01_dapi.tif,label_mask_no_bead_scene,False,no_bead_control,no_bead_control,1.3,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_psmad.tif,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_dapi.tif,,,,peripheral_shell_control,peripheral_shell_control,55.0,,30758,30758,,,720.0354482404315,639.8479892684876,,,,,,,,,,,,,,,35037,0.4200975092416157,0.5710013021122325,0.4721050875162117,0.3712529680499097,0.3458564292799357,0.5260049718618394,0.3970686554908752,0.34594849348068235,0.7160012722015381,0.2725026309490204,0.2607646584510803,0.2725026309490204,0.2607646584510803,,,,,,,,,,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,,,,,,,,,,,,,,,,keep,True,,1013.7176503006765,no_bead_control_set_to_max_plus_offset
manual_s01_cyst_0002,<from_label_scene_01>,scene01,1,scene01_dapi.tif,label_mask_no_bead_scene,False,no_bead_control,no_bead_control,1.3,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_psmad.tif,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_dapi.tif,,,,peripheral_shell_control,peripheral_shell_control,55.0,,18289,18289,,,521.0599442379182,690.9116067740603,,,,,,,,,,,,,,,19368,0.47674469859173807,0.5921574176334944,0.5205794652954476,0.42755495596772797,0.40189621353249355,0.5608976030349727,0.4626859664916992,0.4081025540828705,0.7335082292556763,0.3239469826221466,0.314898818731308,0.3239469826221466,0.314898818731308,,,,,,,,,,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,,,,,,,,,,,,,,,,keep,True,,1013.7176503006765,no_bead_control_set_to_max_plus_offset
manual_s01_cyst_0003,<from_label_scene_01>,scene01,1,scene01_dapi.tif,label_mask_no_bead_scene,False,no_bead_control,no_bead_control,1.3,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_psmad.tif,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_dapi.tif,,,,peripheral_shell_control,peripheral_shell_control,55.0,,23196,23196,,,870.068785046729,791.8495327102804,,,,,,,,,,,,,,,26750,0.47465505488216875,0.6394183481561726,0.53849889361139,0.414101961968017,0.3845498546484747,0.5952008962631226,0.45361216366291046,0.38001908361911774,0.7917650938034058,0.30134105682373047,0.28745412826538086,0.30134105682373047,0.28745412826538086,,,,,,,,,,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,,,,,,,,,,,,,,,,keep,True,,1013.7176503006765,no_bead_control_set_to_max_plus_offset
manual_s01_cyst_0004,<from_label_scene_01>,scene01,1,scene01_dapi.tif,label_mask_no_bead_scene,False,no_bead_control,no_bead_control,1.3,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_psmad.tif,<analysis-root>/pSMAD_2024-08-21/results/array_crops_39/scene_images/scene01_dapi.tif,,,,peripheral_shell_control,peripheral_shell_control,55.0,,16226,16226,,,632.6217424554386,917.7142184834402,,,,,,,,,,,,,,,16999,0.4873039882196296,0.6177042291208279,0.5304095848220323,0.4369815320915009,0.4097805193142511,0.563729390501976,0.47359737008810043,0.41811612248420715,0.8133034110069275,0.3276823163032532,0.3135661482810974,0.3276823163032532,0.3135661482810974,,,,,,,,,,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,,,,,,,,,,,,,,,,keep,True,,1013.7176503006765,no_bead_control_set_to_max_plus_offset
manual_s02_cyst_0001,<analysis-root>/pSMAD_2024-08-21/results/rois/manual_bead_well_39locations/manual_s02_cyst_0001.json,scene02,2,scene02_dapi.tif,roi_json_bead_present,True,bead_center_to_nearest_surface,centroid_bead_vector_vs_array_center_ap_axis,1.3,results/array_crops_39/scene_images/scene02_psmad.tif,results/array_crops_39/scene_images/scene02_dapi.tif,846.1042973723048,750.030966074876,True,full_peripheral_shell,full_peripheral_shell,55.0,,18216,18058,1128.1687788018437,431.6570264976958,840.5309247094492,566.3166245578575,862.0,488.5,818.0,652.5,912.5,520.0,412.8779174909422,302.9795046994293,49.894679127014705,17.5,-32.39467912701471,7.762126215970503,-42.1325529110442,0.5958246360010379,19790,0.5428144705222955,0.6796478625819169,0.5947432547708682,0.47773220726718935,0.4417739526102929,0.6348763698339464,0.5323556482791898,0.4518548756837845,0.8275006413459778,0.3228838869808573,0.29991230368614197,0.3214410646457664,0.29962217807769775,0.49954299996725615,0.4626212070715652,0.4215292105758573,0.3990015322380332,0.40054500608798177,0.3966377159111372,0.3893327694303403,0.37334947124285467,0.5406506508588791,3330.5205078125,91.80348366759513,604.9918212890625,24.57770342313614,278.0,3.0,20.0,1.0,1.0,3.0,2.0,233.06115746109947,302.9795046994293,1.0,408.7383862000133,531.3599020600172,175.6772287389138,228.38039736058795,False,keep,True,,302.9795046994293,measured_d
