position_label	reporter	frame_count	background_median	background_range	background_diff_median	background_diff_p95	background_diff_max	background_diff_ratio	background_net_change	net_change_frac_of_range	max_step_frac_of_range	sign_consistency	first_time_index	last_time_index	max_step_time_prev	max_step_time_curr	early_offset	outside_3sigma_fraction	outside_4sigma_fraction	longest_4sigma_run	longest_late_low_tail_run	max_abs_aligned_z	issue_class	issue_label	issue_detail	flag_rule	primary_flag_rule	flagged	severity_score	first_flag_time_index	first_flag_time_hours	last_flag_time_index	last_flag_time_hours	position_flagged_reporters	position_first_flag_time_index	position_last_flag_time_index	position_first_flag_time_hours	position_last_flag_time_hours
Pos1	YFP	263	22425.837890625	10718.8115234375	196.22119140625	585.15087890625	1074.03515625	5.473594103433775	-466.380859375	0.043510500987467	0.10020095547920962	0.5419847328244275	0	262	245	246	-687.58544921875	0.49049429657794674	0.38783269961977185	102	0	17.30257772305748	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	12.75	134	33.5	235	58.75	RFP, YFP	134	262	33.5	65.5
Pos2	YFP	264	23373.2255859375	11261.27294921875	196.87109375	553.5789062499998	2444.7080078125	12.41781086926328	-590.67578125	0.05245195493560771	0.21708984577823429	0.5703422053231939	0	263	262	263	133.81396484375	0.4734848484848485	0.39015151515151514	98	0	16.125050921025803	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	12.25	159	39.75	256	64.0	RFP, YFP	159	263	39.75	65.75
Pos9	YFP	264	22873.48828125	10938.01953125	170.673828125	533.5214843749999	2243.7333984375	13.146323739772273	-1088.6494140625	0.09952893308996394	0.20513159553492638	0.5475285171102662	0	263	262	263	-617.336181640625	0.4583333333333333	0.3522727272727273	93	0	14.585803195866262	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	11.625	166	41.5	258	64.5	RFP, YFP	166	263	41.5	65.75
Pos1	RFP	263	7673.3818359375	7517.58056640625	59.2239990234375	212.85825195312498	625.6923828125	10.564845216968317	7030.51416015625	0.935209685889294	0.0832305523413379	0.5763358778625954	0	262	245	246	-147.45849609375	0.26996197718631176	0.18631178707224336	49	0	44.50432008914056	high aligned deviation	background rose above the aggregate trend	After early-offset alignment, the background stays above the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	11.12608002228514	214	53.5	262	65.5	RFP, YFP	134	262	33.5	65.5
Pos2	RFP	264	7620.2332763671875	8662.52734375	45.4873046875	209.07387695312488	2869.8740234375	63.09175808840894	8180.8759765625	0.9443982860804462	0.3312975428017679	0.5095057034220533	0	263	262	263	-174.4385986328125	0.125	0.08333333333333333	22	6	37.540183115993926	high aligned deviation	background rose above the aggregate trend	After early-offset alignment, the background stays above the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	9.385045778998482	242	60.5	263	65.75	RFP, YFP	159	263	39.75	65.75
Pos9	RFP	264	7536.129638671875	7289.1162109375	47.449462890625	219.8079345703122	2457.8095703125	51.798469794652	6684.39892578125	0.9170383256822197	0.33718896765900036	0.532319391634981	0	263	262	263	-209.759521484375	0.125	0.045454545454545456	12	17	29.462198892522668	high aligned deviation	background rose above the aggregate trend	After early-offset alignment, the background stays above the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames; rfp_late_low_tail_2p25sigma_8frames_last35	aligned_4sigma_8frames	True	7.365549723130667	252	63.0	263	65.75	RFP, YFP	166	263	41.5	65.75
Pos10	YFP	274	23836.87451171875	10776.7421875	166.2919921875	538.4402343749999	881.923828125	5.303465407586195	-10352.4638671875	0.9606301874044437	0.08183584730717118	0.5787545787545788	0	273	3	4	132.69677734375	0.28102189781021897	0.19343065693430658	53	0	13.76908427951444	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	6.625	221	55.25	273	68.25	RFP, YFP	221	273	55.25	68.25
Pos3	YFP	274	24711.54150390625	8103.259765625	153.8271484375	523.4046875	803.4345703125	5.222969927437325	-7466.298828125	0.9213944812429604	0.09914955135965971	0.5494505494505495	0	273	3	4	793.7998046875	0.19343065693430658	0.11313868613138686	31	0	9.445322324592778	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	3.875	243	60.75	273	68.25	YFP	243	273	60.75	68.25
Pos10	RFP	274	7670.53515625	1153.22216796875	41.04150390625	125.84555664062493	205.4814453125	5.006674360225096	-807.47216796875	0.7001878652671121	0.1781802769837738	0.5311355311355311	0	273	114	115	-135.973876953125	0.040145985401459854	0.025547445255474453	5	17	5.420216342466712	late low aligned tail	late RFP background tail-off	After early-offset alignment, the RFP background stays unusually low near the end of the movie.	rfp_late_low_tail_2p25sigma_8frames_last35	rfp_late_low_tail_2p25sigma_8frames_last35	True	1.355054085616678	257	64.25	273	68.25	RFP, YFP	221	273	55.25	68.25
Pos17	YFP	274	24279.56982421875	5857.1083984375	161.091796875	562.4611328124997	865.7294921875	5.374137659282969	-5208.9443359375	0.8893371919370809	0.1478083438610169	0.5054945054945055	0	273	83	84	102.03515625	0.06934306569343066	0.029197080291970802	8	0	5.107271694913199	low aligned deviation	background fell below the aggregate trend	After early-offset alignment, the background stays below the dataset-wide aggregate trend for a sustained window.	aligned_4sigma_8frames	aligned_4sigma_8frames	True	1.2768179237282997	266	66.5	273	68.25	YFP	266	273	66.5	68.25
