summary_level	image_id	file_id	condition	position_label	file_name	z_index	mask_pixels	foxf1_positive_pixels	foxf1_positive_fraction_of_mask	foxf1_positive_host_strict_pixels	foxf1_positive_donor_strict_pixels	foxf1_positive_mixed_pixels	foxf1_positive_unlabeled_pixels	foxf1_positive_host_class_pixels	foxf1_positive_donor_class_pixels	foxf1_positive_host_partition_pixels	foxf1_positive_donor_partition_pixels	foxf1_positive_host_strict_fraction	foxf1_positive_donor_strict_fraction	foxf1_positive_mixed_fraction	foxf1_positive_unlabeled_fraction	foxf1_positive_host_class_fraction	foxf1_positive_donor_class_fraction	foxf1_positive_host_partition_fraction	foxf1_positive_donor_partition_fraction	foxf1_ratio_mean_in_foxf1_positive	host_ratio_mean_in_foxf1_positive	donor_ratio_mean_in_foxf1_positive	foxf1_threshold	host_threshold	foxf1_host_seed_threshold	donor_threshold	foxf1_region_mode	foxf1_lineage_mode	lineage_partition_mode	foxf1_host_seed_threshold_scale	foxf1_component_radius_px	foxf1_raw_positive_pixels	donor_raw_positive_pixels	donor_graft_pixels	host_lineage_pixels	donor_lineage_pixels	host_seed_pixels	foxf1_donor_halo_pixels
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	0.0	248977	38600	0.15503440076794242	447	32767	287	5099	734	32767	724	37876	0.011580310880829016	0.8488860103626943	0.007435233160621762	0.13209844559585493	0.019015544041450776	0.8488860103626943	0.018756476683937824	0.9812435233160621	0.0819706991314888	0.15401513874530792	0.15390105545520782	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39099	36430	35747	206749	42228	200217	82986
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	1.0	246886	38865	0.15742083390714742	527	32573	287	5478	814	32573	770	38095	0.013559758137141387	0.8381062652772417	0.007384536215103564	0.14094944037051332	0.02094429435224495	0.8381062652772417	0.019812170333204683	0.9801878296667953	0.08211018890142441	0.15109938383102417	0.1538737416267395	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39356	36038	35365	204351	42535	196371	83489
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	2.0	245350	38928	0.1586631342979417	497	32363	211	5857	708	32363	779	38149	0.012767159884915742	0.8313553226469379	0.00542026304973284	0.15045725441841348	0.018187422934648582	0.8313553226469379	0.020011302918207973	0.979988697081792	0.08237873017787933	0.14703577756881714	0.1547078788280487	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39316	35853	34840	202210	43140	192912	83612
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	3.0	244209	39009	0.1597361276611427	395	32799	171	5644	566	32799	652	38357	0.010125868389346048	0.8408059678535722	0.004383603783742213	0.14468455997333948	0.014509472173088261	0.8408059678535722	0.01671409161988259	0.9832859083801174	0.08281708508729935	0.14218448102474213	0.15581147372722626	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39466	36121	35036	200807	43402	189554	84274
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	4.0	243476	39083	0.16052095483743778	384	33173	137	5389	521	33173	652	38431	0.00982524371209989	0.8487833584934626	0.0035053603868689712	0.1378860374075685	0.013330604098968862	0.8487833584934626	0.01668244505283627	0.9833175549471638	0.08276987820863724	0.13879859447479248	0.15649616718292236	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39446	36024	35395	200083	43393	186879	83852
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	5.0	242875	39238	0.16155635615028308	378	33303	143	5414	521	33303	616	38622	0.009633518527957591	0.8487435649115653	0.0036444263214231104	0.13797849023905398	0.013277944849380703	0.8487435649115653	0.015699067230745704	0.9843009327692543	0.08227216452360153	0.13578851521015167	0.1564941108226776	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39633	36014	35339	199719	43156	185358	83495
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	6.0	243408	39330	0.1615805561033327	278	33542	182	5328	460	33542	510	38820	0.007068395626748029	0.852834986015764	0.004627510806000508	0.13546910755148742	0.011695906432748537	0.852834986015764	0.012967200610221205	0.9870327993897788	0.08179968595504761	0.1328195482492447	0.15634337067604065	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39866	36212	35580	200210	43198	185102	82654
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	7.0	244146	39342	0.16114128431348457	225	33827	188	5102	413	33827	456	38886	0.005719078847033704	0.8598190229271516	0.004778608103299273	0.12968329012251537	0.010497686950332978	0.8598190229271516	0.011590666463321641	0.9884093335366784	0.08172065019607544	0.13180795311927795	0.15720224380493164	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39948	36500	35994	201039	43107	186098	82684
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	8.0	245380	39257	0.15998451381530687	149	34251	156	4701	305	34251	371	38886	0.003795501439233767	0.8724813409073541	0.003973813587385689	0.11974934406602644	0.007769315026619456	0.8724813409073541	0.009450543852051864	0.9905494561479481	0.08167052268981934	0.1309383660554886	0.15774595737457275	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	40033	36896	36564	202212	43168	186943	82837
plane	img04	4.0	BMPR1A_KD	1(z3)	1(z3).tif	9.0	247167	39250	0.1587995161166337	96	34846	115	4193	211	34846	309	38941	0.002445859872611465	0.8877961783439491	0.002929936305732484	0.106828025477707	0.005375796178343949	0.8877961783439491	0.007872611464968152	0.9921273885350318	0.0818987637758255	0.1310126930475235	0.1580890417098999	0.04765405076404103	0.3675140381004487	0.422641143815516	0.08820446440447842	donor_adjacent_component	full_mask_intensity_seed_partition	full_mask_intensity_seed_partition	1.15	80.0	39982	37641	37356	203928	43239	188146	83384
