leiden_morph,Forebrain / Midbrain,Hindbrain,Floor Plate,Intermediate-Ventral Spinal Cord,Dorsal Spinal Cord,Roof Plate,Neural Crest,Immature Neuron,Posterior NT,NMP,Notochord,Presomitic Mesoderm,Early Somite,Mature Somite,Intermediate Mesoderm,Lateral Plate Mesoderm,Endothelial,Non-Neural Ectoderm
Forebrain / Midbrain,0.7404813895905998,0.34561935047929127,0.28388762958186153,0.3525195806821222,0.36534408952476227,0.18522445500350043,0.06875466226823344,-0.0034423806169567943,0.10013180825903459,-0.0037464939966690247,-0.11195766806857728,0.006019553223411273,0.04423364968331065,0.07637638037659966,0.09851860308087772,0.05287504432342347,0.0392810731819154,0.07414389189780893
Hindbrain,0.5890623635349355,0.6983292358476975,0.5454875174310927,0.6698563426783343,0.6176132695663528,0.2347604685376293,0.11679128557077384,0.18378740994877102,0.024009184155619017,-0.06917322503284289,-0.05272205905254113,-0.056328167032385454,0.06919356475282396,0.09198008662760492,-0.018764888609177216,0.05088809798975262,0.037336784835158204,-0.05477041405510614
Floor Plate,0.09309518152044352,0.12899603540337312,0.5551174605650796,0.20501377431070675,0.1206865708346379,0.03153955918893121,-0.0015433184665914214,-0.03578356825175296,0.21680624129992587,0.16629158651207543,0.06360105804565085,0.1462742920319576,0.061496810189077794,0.10056134715950035,0.1269806424403688,0.017326036200465203,0.031670845173232945,-0.012007357556546323
Intermediate-Ventral Spinal Cord,0.5374216063175148,0.6770660216440808,0.620417002397817,0.8093919863551315,0.6359475492437746,0.2112036215866324,0.10577484000555776,0.11994189665511652,0.1945365509016349,0.05570156610681424,-0.06361326750125461,0.07491817569032955,0.07189316796856528,0.1327741553551961,0.12041265978755002,0.0747989450347128,0.04033656433723067,-0.050103341380122804
Dorsal Spinal Cord,0.4057492864285533,0.5512627562547848,0.5124780298784704,0.6602279165917362,0.7285770021944645,0.488331646113565,0.10878683237595602,0.04047062934392269,0.40333370233756843,0.24006317733157148,-0.08236470525588649,0.27531666161146573,0.11911949225129635,0.2239965311620918,0.32646476756603815,0.13097894190888176,0.10128941092302292,-0.0026233623266383233
Roof Plate,0.3093079350776606,0.3812773713271833,0.3457615581634121,0.4272728559362736,0.6889270903370982,0.7451029054655276,0.16108714157082304,-0.0039536879733057815,0.2732434527247712,0.1656491734940074,-0.06526040174603062,0.1887387894803018,0.06438600779057271,0.17674329291398724,0.25031557830796014,0.13724379473113252,0.13472761987873064,0.0185575650090891
Neural Crest,0.10831535159991233,0.2120997198310893,0.15703872361711224,0.24315610198507523,0.27237321127447167,0.19988244060610436,0.8069782823016339,0.012852904111133068,0.0821117424552613,-0.002718480930999535,-0.07478059737342921,0.042137341516406766,0.02076717820200594,0.11540633100087128,0.06884593612124795,0.0398142091256111,0.12530535130532597,0.04568741403650983
Immature Neuron,-0.04529664935628429,0.04328022184492051,-0.06300233429601503,0.05140434610192683,-0.023367302537821866,-0.11846394131899547,-0.11773931512111775,0.7672962522379216,-0.09155661329433065,-0.14061779195784355,-0.21452598311875098,-0.08473872212117,-0.09850458469977288,-0.22639888731010507,-0.18854112668585268,-0.28069972738475796,-0.189177653364719,-0.22693943883104012
Posterior Neural Tube,0.2555124505874465,0.2861703606436764,0.3844077656676543,0.49709851611166156,0.38926922122323504,0.19309775924175707,0.06520871661764095,-0.007227963944936535,0.7190674908288407,0.5410094076254273,-0.06256289128514299,0.5347055112306088,0.15190667308143893,0.1988066365775674,0.49642141188917754,0.09636477488079316,0.07976919270182954,-0.019514470837153075
Neuromesodermal Progenitors,0.13096585548071876,0.1490702981514629,0.22157691287353787,0.30442667101434084,0.22585244162589488,0.10570701098291786,0.026687653185748342,-0.043607644192782395,0.4612400423718137,0.5754903031151617,0.23766948585710132,0.5067159969984647,0.087009325533663,0.08778129143336295,0.31049018560980834,0.02516808453616491,0.024566237711775272,-0.034064051798239126
