gene_ids,gene_symbol,gene_symbol_original,in_smd_scored_space,z_score_SMD,log1p_z_score_SMD,selected_at_z_gt_2,selected_at_z_gt_current,manually_added_to_final_smd,manually_removed_from_final_smd,removed_as_cell_cycle,included_in_final_smd_current,z_threshold_current,smd_run_id,smd_run_n_sub
ENSG00000237491,LINC01409,LINC01409,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000188976,NOC2L,NOC2L,True,-3.775229761258618,,False,False,False,False,False,False,2.0,009,4250
ENSG00000188290,HES4,HES4,True,73.5092410583481,4.3109231587447105,True,True,False,False,False,True,2.0,009,4250
ENSG00000187608,ISG15,ISG15,True,-4.138962142973486,,False,False,False,False,False,False,2.0,009,4250
ENSG00000188157,AGRN,AGRN,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000131591,C1orf159,C1orf159,True,-5.074273981668861,,False,False,False,False,False,False,2.0,009,4250
ENSG00000078808,SDF4,SDF4,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000176022,B3GALT6,B3GALT6,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000160087,UBE2J2,UBE2J2,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000127054,INTS11,INTS11,True,-5.074273981668861,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162576,MXRA8,MXRA8,True,-4.693221010348523,,False,False,False,False,False,False,2.0,009,4250
ENSG00000175756,AURKAIP1,AURKAIP1,True,-1.8872854942623982,,False,False,False,False,False,False,2.0,009,4250
ENSG00000221978,CCNL2,CCNL2,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000242485,MRPL20,MRPL20,True,-3.965756246918787,,False,False,False,False,False,False,2.0,009,4250
ENSG00000197785,ATAD3A,ATAD3A,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000160075,SSU72,SSU72,True,-4.762503368770402,,False,False,False,False,False,False,2.0,009,4250
ENSG00000248333,CDK11B,CDK11B,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000008128,CDK11A,CDK11A,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000215790,SLC35E2A,SLC35E2A,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162585,FAAP20,FAAP20,True,-4.571976883110234,,False,False,False,False,False,False,2.0,009,4250
ENSG00000157933,SKI,SKI,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000157916,RER1,RER1,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000157911,PEX10,PEX10,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000197921,HES5,HES5,True,571.5454745740298,6.3500921638442325,True,True,False,False,False,True,2.0,009,4250
ENSG00000272449,AL139246.5,AL139246.5,True,-4.9703504440360415,,False,False,False,False,False,False,2.0,009,4250
ENSG00000130764,LRRC47,LRRC47,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116198,CEP104,CEP104,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000198912,C1orf174,C1orf174,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000131697,NPHP4,NPHP4,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116237,ICMT,ICMT,True,-3.567382685992979,,False,False,False,False,False,False,2.0,009,4250
ENSG00000158292,GPR153,GPR153,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000097021,ACOT7,ACOT7,True,-4.9530298544305715,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162408,NOL9,NOL9,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116273,PHF13,PHF13,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000041988,THAP3,THAP3,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000007923,DNAJC11,DNAJC11,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000049245,VAMP3,VAMP3,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000049246,PER3,PER3,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116285,ERRFI1,ERRFI1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000228526,MIR34AHG,MIR34AHG,True,-3.2382914834890513,,False,False,False,False,False,False,2.0,009,4250
ENSG00000171612,SLC25A33,SLC25A33,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000171603,CLSTN1,CLSTN1,True,-4.779823958375872,,False,False,False,False,False,False,2.0,009,4250
ENSG00000178585,CTNNBIP1,CTNNBIP1,True,-4.017718015735197,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162441,LZIC,LZIC,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000173614,NMNAT1,NMNAT1,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000130939,UBE4B,UBE4B,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000142657,PGD,PGD,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000175279,CENPS,CENPS,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000160049,DFFA,DFFA,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000142655,PEX14,PEX14,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000120948,TARDBP,TARDBP,True,-5.056953392063391,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116649,SRM,SRM,True,-3.013123818617942,,False,False,False,False,False,False,2.0,009,4250
ENSG00000171824,EXOSC10,EXOSC10,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000198793,MTOR,MTOR,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000120942,UBIAD1,UBIAD1,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116670,MAD2L2,MAD2L2,True,-4.104320963762546,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162490,DRAXIN,DRAXIN,True,-4.623938651926643,,False,False,False,False,False,False,2.0,009,4250
ENSG00000177674,AGTRAP,AGTRAP,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000177000,MTHFR,MTHFR,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000011021,CLCN6,CLCN6,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116685,KIAA2013,KIAA2013,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000083444,PLOD1,PLOD1,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116688,MFN2,MFN2,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116691,MIIP,MIIP,True,-5.091594571274331,,False,False,False,False,False,False,2.0,009,4250
ENSG00000048707,VPS13D,VPS13D,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162493,PDPN,PDPN,True,-3.948435657313317,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116731,PRDM2,PRDM2,True,-5.074273981668861,,False,False,False,False,False,False,2.0,009,4250
ENSG00000189337,KAZN,KAZN,True,-4.675900420743053,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116138,DNAJC16,DNAJC16,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000197312,DDI2,DDI2,True,-5.074273981668861,,False,False,False,False,False,False,2.0,009,4250
ENSG00000116786,PLEKHM2,PLEKHM2,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162458,FBLIM1,FBLIM1,True,-5.056953392063391,,False,False,False,False,False,False,2.0,009,4250
ENSG00000179743,AL450998.2,AL450998.2,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000065526,SPEN,SPEN,True,-5.056953392063391,,False,False,False,False,False,False,2.0,009,4250
ENSG00000037637,FBXO42,FBXO42,True,-5.056953392063391,,False,False,False,False,False,False,2.0,009,4250
ENSG00000055070,SZRD1,SZRD1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000157191,NECAP2,NECAP2,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000219481,NBPF1,NBPF1,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000058453,CROCC,CROCC,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117122,MFAP2,MFAP2,True,-3.983076836524257,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117118,SDHB,SDHB,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000179051,RCC2,RCC2,True,-4.9183886752196315,,False,False,False,False,False,False,2.0,009,4250
ENSG00000074964,ARHGEF10L,ARHGEF10L,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000127481,UBR4,UBR4,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000230424,EMC1-AS1,EMC1-AS1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000127463,EMC1,EMC1,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000053372,MRTO4,MRTO4,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000053371,AKR7A2,AKR7A2,True,-4.797144547981342,,False,False,False,False,False,False,2.0,009,4250
ENSG00000077549,CAPZB,CAPZB,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000173436,MICOS10,MICOS10,True,-1.8699649046569282,,False,False,False,False,False,False,2.0,009,4250
ENSG00000169914,OTUD3,OTUD3,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162545,CAMK2N1,CAMK2N1,True,-4.762503368770402,,False,False,False,False,False,False,2.0,009,4250
ENSG00000244038,DDOST,DDOST,True,-5.004991623246981,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117298,ECE1,ECE1,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162551,ALPL,ALPL,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000090686,USP48,USP48,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000142798,HSPG2,HSPG2,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000184677,ZBTB40,ZBTB40,True,-4.9530298544305715,,False,False,False,False,False,False,2.0,009,4250
ENSG00000133216,EPHB2,EPHB2,True,-4.9876710336415115,,False,False,False,False,False,False,2.0,009,4250
ENSG00000240553,AL031428.1,AL031428.1,True,-4.8837474960086915,,False,False,False,False,False,False,2.0,009,4250
ENSG00000169641,LUZP1,LUZP1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117318,ID3,ID3,True,117.72870632111277,4.77684111164523,True,True,False,False,False,True,2.0,009,4250
ENSG00000236810,ELOA-AS1,ELOA-AS1,True,-5.056953392063391,,False,False,False,False,False,False,2.0,009,4250
ENSG00000011007,ELOA,ELOA,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000057757,PITHD1,PITHD1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000011009,LYPLA2,LYPLA2,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000189266,PNRC2,PNRC2,True,-5.039632802457921,,False,False,False,False,False,False,2.0,009,4250
ENSG00000188529,SRSF10,SRSF10,True,-4.814465137586812,,False,False,False,False,False,False,2.0,009,4250
ENSG00000169504,CLIC4,CLIC4,True,-4.502694524688354,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117614,SYF2,SYF2,True,-4.9530298544305715,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117616,RSRP1,RSRP1,True,-5.108915160879801,,False,False,False,False,False,False,2.0,009,4250
ENSG00000183726,TMEM50A,TMEM50A,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000204178,MACO1,MACO1,True,-5.126235750485271,,False,False,False,False,False,False,2.0,009,4250
ENSG00000162430,SELENON,SELENON,True,-5.178197519301681,,False,False,False,False,False,False,2.0,009,4250
ENSG00000117640,MTFR1L,MTFR1L,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000142684,ZNF593,ZNF593,True,-5.143556340090741,,False,False,False,False,False,False,2.0,009,4250
ENSG00000130695,CEP85,CEP85,True,-5.160876929696211,,False,False,False,False,False,False,2.0,009,4250
ENSG00000142669,SH3BGRL3,SH3BGRL3,True,-2.5627884888757246,,False,False,False,False,False,False,2.0,009,4250
ENSG00000131914,LIN28A,LIN28A,True,-2.9958032290124725,,False,False,False,False,False,False,2.0,009,4250
