gene_ids,gene_symbol,gene_symbol_original,z_score_SMD,log1p_z_score_SMD,selected_at_z_gt_2,selected_at_z_gt_current,z_threshold_current,smd_run_id,smd_run_n_sub
ENSG00000237491,LINC01409,LINC01409,-5.108915160879801,,False,False,2.0,009,4250
ENSG00000188976,NOC2L,NOC2L,-3.775229761258618,,False,False,2.0,009,4250
ENSG00000188290,HES4,HES4,73.5092410583481,4.3109231587447105,True,True,2.0,009,4250
ENSG00000187608,ISG15,ISG15,-4.138962142973486,,False,False,2.0,009,4250
ENSG00000188157,AGRN,AGRN,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000131591,C1orf159,C1orf159,-5.074273981668861,,False,False,2.0,009,4250
ENSG00000078808,SDF4,SDF4,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000176022,B3GALT6,B3GALT6,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000160087,UBE2J2,UBE2J2,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000127054,INTS11,INTS11,-5.074273981668861,,False,False,2.0,009,4250
ENSG00000162576,MXRA8,MXRA8,-4.693221010348523,,False,False,2.0,009,4250
ENSG00000175756,AURKAIP1,AURKAIP1,-1.8872854942623982,,False,False,2.0,009,4250
ENSG00000221978,CCNL2,CCNL2,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000242485,MRPL20,MRPL20,-3.965756246918787,,False,False,2.0,009,4250
ENSG00000197785,ATAD3A,ATAD3A,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000160075,SSU72,SSU72,-4.762503368770402,,False,False,2.0,009,4250
ENSG00000248333,CDK11B,CDK11B,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000008128,CDK11A,CDK11A,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000215790,SLC35E2A,SLC35E2A,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000162585,FAAP20,FAAP20,-4.571976883110234,,False,False,2.0,009,4250
ENSG00000157933,SKI,SKI,-5.039632802457921,,False,False,2.0,009,4250
ENSG00000157916,RER1,RER1,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000157911,PEX10,PEX10,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000197921,HES5,HES5,571.5454745740298,6.3500921638442325,True,True,2.0,009,4250
ENSG00000272449,AL139246.5,AL139246.5,-4.9703504440360415,,False,False,2.0,009,4250
ENSG00000130764,LRRC47,LRRC47,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000116198,CEP104,CEP104,-5.108915160879801,,False,False,2.0,009,4250
ENSG00000198912,C1orf174,C1orf174,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000131697,NPHP4,NPHP4,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000116237,ICMT,ICMT,-3.567382685992979,,False,False,2.0,009,4250
ENSG00000158292,GPR153,GPR153,-5.039632802457921,,False,False,2.0,009,4250
ENSG00000097021,ACOT7,ACOT7,-4.9530298544305715,,False,False,2.0,009,4250
ENSG00000162408,NOL9,NOL9,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000116273,PHF13,PHF13,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000041988,THAP3,THAP3,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000007923,DNAJC11,DNAJC11,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000049245,VAMP3,VAMP3,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000049246,PER3,PER3,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000116285,ERRFI1,ERRFI1,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000228526,MIR34AHG,MIR34AHG,-3.2382914834890513,,False,False,2.0,009,4250
ENSG00000171612,SLC25A33,SLC25A33,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000171603,CLSTN1,CLSTN1,-4.779823958375872,,False,False,2.0,009,4250
ENSG00000178585,CTNNBIP1,CTNNBIP1,-4.017718015735197,,False,False,2.0,009,4250
ENSG00000162441,LZIC,LZIC,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000173614,NMNAT1,NMNAT1,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000130939,UBE4B,UBE4B,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000142657,PGD,PGD,-5.039632802457921,,False,False,2.0,009,4250
ENSG00000175279,CENPS,CENPS,-5.039632802457921,,False,False,2.0,009,4250
ENSG00000160049,DFFA,DFFA,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000142655,PEX14,PEX14,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000120948,TARDBP,TARDBP,-5.056953392063391,,False,False,2.0,009,4250
ENSG00000116649,SRM,SRM,-3.013123818617942,,False,False,2.0,009,4250
ENSG00000171824,EXOSC10,EXOSC10,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000198793,MTOR,MTOR,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000120942,UBIAD1,UBIAD1,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000116670,MAD2L2,MAD2L2,-4.104320963762546,,False,False,2.0,009,4250
ENSG00000162490,DRAXIN,DRAXIN,-4.623938651926643,,False,False,2.0,009,4250
ENSG00000177674,AGTRAP,AGTRAP,-5.039632802457921,,False,False,2.0,009,4250
ENSG00000177000,MTHFR,MTHFR,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000011021,CLCN6,CLCN6,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000116685,KIAA2013,KIAA2013,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000083444,PLOD1,PLOD1,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000116688,MFN2,MFN2,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000116691,MIIP,MIIP,-5.091594571274331,,False,False,2.0,009,4250
ENSG00000048707,VPS13D,VPS13D,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000162493,PDPN,PDPN,-3.948435657313317,,False,False,2.0,009,4250
ENSG00000116731,PRDM2,PRDM2,-5.074273981668861,,False,False,2.0,009,4250
ENSG00000189337,KAZN,KAZN,-4.675900420743053,,False,False,2.0,009,4250
ENSG00000116138,DNAJC16,DNAJC16,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000197312,DDI2,DDI2,-5.074273981668861,,False,False,2.0,009,4250
ENSG00000116786,PLEKHM2,PLEKHM2,-5.143556340090741,,False,False,2.0,009,4250
ENSG00000162458,FBLIM1,FBLIM1,-5.056953392063391,,False,False,2.0,009,4250
ENSG00000179743,AL450998.2,AL450998.2,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000065526,SPEN,SPEN,-5.056953392063391,,False,False,2.0,009,4250
ENSG00000037637,FBXO42,FBXO42,-5.056953392063391,,False,False,2.0,009,4250
ENSG00000055070,SZRD1,SZRD1,-5.126235750485271,,False,False,2.0,009,4250
ENSG00000157191,NECAP2,NECAP2,-5.108915160879801,,False,False,2.0,009,4250
ENSG00000219481,NBPF1,NBPF1,-5.178197519301681,,False,False,2.0,009,4250
ENSG00000058453,CROCC,CROCC,-5.160876929696211,,False,False,2.0,009,4250
ENSG00000117122,MFAP2,MFAP2,-3.983076836524257,,False,False,2.0,009,4250
ENSG00000117118,SDHB,SDHB,-5.108915160879801,,False,False,2.0,009,4250
